country	funding_body	url_source	date	collected_by	file_name
USA	NSF	https://beta.nsf.gov/funding/opportunities/postdoctoral-research-fellowships-biology-prfb	22/06/2022	Michael	NSF_PRFB.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/research-coordination-networks-undergraduate-biology-education-rcn-ube	22/06/2022	Michael	NSF_RCN-UBE.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/research-experiences-undergraduates-reu	22/06/2022	Michael	NSF_REU.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/bio-research-experience-undergraduates-sites-bio-reu-sites	22/06/2022	Michael	NSF_BIO-REU.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/building-research-capacity-new-faculty-biology-brc-bio	22/06/2022	Michael	NSF_BRC-BIO.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/leading-culture-change-through-professional-societies-biology-bio-leaps	22/06/2022	Michael	NSF_BIO-LEAP.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/research-and-mentoring-postbaccalaureates-biological-sciences-ramp	22/06/2022	Michael	NSF_RaMP-2.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/research-experiences-teachers-sites-biological-sciences-biorets	22/06/2022	Michael	NSF_BIORETS-2.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/infrastructure-innovation-biological-research-innovation	22/06/2022	Michael	NSF_Innovation.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/infrastructure-capacity-biological-research-capacity	22/06/2022	Michael	NSF_Capacity.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/sustaining-infrastructure-biological-research-sustaining	22/06/2022	Michael	NSF_Sustaining.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/major-research-instrumentation-program-mri	22/06/2022	Michael	NSF_MRI.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/biology-integration-institutes-bii	22/06/2022	Michael	NSF_BII.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/center-advancement-and-synthesis-open-environmental-data-and-sciences	22/06/2022	Michael	NSF_CASOEDS.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/competition-management-operations-and-maintenance-national-ecological	22/06/2022	Micheal	NSF_CMOMNEON.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/mid-scale-research-infrastructure-1-mid-scale-ri-1	22/06/2022	Michael	NSF_Mid_scale_RI-1.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/mid-scale-research-infrastructure-2-mid-scale-ri-2	22/06/2022	Michael	NSF_Mid_scale_RI-2.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/national-artificial-intelligence-research-institutes	22/06/2022	Michael	NSF_NAIRI.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/national-ecological-observatory-network	22/06/2022	Michael	NSF_NEON.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/enabling-discovery-through-genomics-edge	22/06/2022	Michael	NSF_EDGE.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/innovation-corps-teams-program	22/06/2022	Michael	NSF_I-Corps.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/plant-genome-research-program-pgrp	22/06/2022	Michael	NSF_PGRP.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/cellular-dynamics-and-function	22/06/2022	Michael	NSF_CDF.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/macrosystems-biology-and-neon-enabled-science-msb-nes	22/06/2022	Michael	NSF_MSB-NES.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/mid-career-advancement-mca	22/06/2022	Michael	NSF_MCA.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/research-assistantships-high-school-students-rahss	22/06/2022	Michael	NSF_RAHSS.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/research-coordination-networks	22/06/2022	Michael	NSF_RCN.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/research-experiences-teachers-supplement-opportunity-ret	22/06/2022	Michael	NSF_RET.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/biodiversity-changing-planet-bocp	22/06/2022	Michael	NSF_BoCP.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/ecosystem-science-cluster-0	22/06/2022	Michael	NSF_ES.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/evolutionary-processes-cluster	22/06/2022	Michael	NSF_EP.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/population-and-community-ecology-cluster	22/06/2022	Michael	NSF_PCE.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/systematics-and-biodiversity-science-cluster-sbs	22/06/2022	Michael	NSF_SBS.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/dynamics-integrated-socio-environmental-systems-dises	22/06/2022	Michael	NSF_DISES.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/ecology-and-evolution-infectious-diseases-eeid	22/06/2022	Michael	NSF_EEID.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/long-term-research-environmental-biology-ltreb	22/06/2022	Michael	NSF_LTREB.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/signals-soil	22/06/2022	Michael	NSF_SiS.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/integrative-research-biology-intbio	22/06/2022	Michael	NSF_IntBIO.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/long-term-ecological-research-lter	23/06/2022	Michael	NSF_LTER.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/opportunities-promoting-understanding-through-synthesis-opus	23/06/2022	Michael	NSF_OPUS.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/critical-aspects-sustainability-cas	23/06/2022	Michael	NSF_CAS.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/nsf-nist-interaction-basic-and-applied-scientific-research	23/06/2022	Michael	NSF-NIST_IBASR.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/nsf-simons-collaboration-national-institute-theory-and-mathematics-biology	23/06/2022	Michael	NSF_NITMB.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/organismal-response-climate-change-orcc	23/06/2022	Michael	NSF_ORCC.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/behavioral-systems-0	23/06/2022	Michael	NSF_BS.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/division-integrative-organismal-systems-core-programs-ios	23/06/2022	Michael	NSF_IOS.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/developmental-systems-0	23/06/2022	Michael	NSF_DS.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/neural-systems-0	23/06/2022	Michael	NSF_NS.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/physiological-and-structural-systems-pss	23/06/2022	Michael	NSF_PSS.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/plant-biotic-interactions	23/06/2022	Michael	NSF_PBI.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/collaborative-research-computational-neuroscience-crcns	23/06/2022	Michael	NSF_CRCNS.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/developing-country-collaborations-plant-genome-research	23/06/2022	Michael	NSF_DCC-PGR.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/nsf-simons-research-centers-mathematics-complex-biological-systems-mathbiosys	23/06/2022	Michael	NSF_MathBioSys.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/reproducible-cells-and-organoids-directed-differentiation-encoding-recode	23/06/2022	Michael	NSF_RECODE.txt
USA	NSF	https://beta.nsf.gov/funding/opportunities/division-molecular-and-cellular-biosciences-investigator-initiated-research-1	23/06/2022	Michael	NSF_MCB.txt
