Identifiant	Label	Type	Date de début	Date de fin	Budget total	Budget financé	URL	URL du project	Nombre de participant	Nom de l'appel à projet	Label de l'action	Durée	Lien vers fiche scanR	Date d'export	Contexte de recherche
these-ADEME-2006-168	Exploitation des observations satellitaires IASI couplées à un modèle régional pour l'amélioration de la prévision des épisodes de pollution en ozone	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2006-168	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2009-170	Quantification de l'impact relatif des sources locales et lointaines sur le bilan de pollution : analyse couplée d'observations satellitaires Â (A-Train, METOP) et modélisation (CHIMERE)	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2009-170	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2008-171	Quantification et étude du transport des espèces polluantes dans la troposphère tropicale (Ile de la Réunion)	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2008-171	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2006-172	Purification et caractérisations physico-chimiques et électriques de silicium d'origine métallurgique destiné à la conversion photovoltaïque.	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2006-172	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2014-173	Spectroscopie sans contact de durée de vie en température pour la détermination des contaminants présents dans le silicium destiné à la réalisation de cellules photovoltaïques	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2014-173	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2008-174	Vulnérabilité des forêts méditerranéennes aux événements climatiques extrêmes : impact sur les échanges de CO2, d'eau et d'énergie entre l'atmosphère et la végétation.	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2008-174	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2015-175	Rôle de la diversité sur la stabilité du fonctionnement des écosystèmes forestiers dans un contexte de changement climatique.	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2015-175	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2009-178	Comment repenser les villes européennes et les modes de vie dans une société post-carbone ?	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2009-178	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2007-179	Etude expérimentale et numérique des phénomènes de mélange turbulent et de transfert thermique en présence de vorticité	Thèses co-financées ADEME							1				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2007-179	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2013-181	Traà§ages réactifs pour la caractérisation de la réactivité des eaux souterraines	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2013-181	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2005-182	Nouveaux copolymères dérivés d'esters cellulosiques par polymérisation radicalaire contrôlée - Application à la purification du carbonate de diméthyle par un procédé de séparation par membrane	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2005-182	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2011-183	Développement de méthodes RMN / IRM dédiées à l'étude in-situ des phénomènes de transport dans les piles à combustible à membrane échangeuse de protons.	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2011-183	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2009-184	Production de gaz de synthèse par gazéification de la biomasse et de déchets organiques dans un réacteur à flux entrainé : impact des inorganiques dans la gazéification de déchets, conception des parois et modèle de fonctionnement du réacteur	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2009-184	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2017-186	Exposition aux particules ultrafines et au carbone suie des chauffeurs de taxis parisiens : déterminants de l'exposition et impact sur la santé respiratoire	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2017-186	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2008-188	La soutenabilité de la croissance urbaine rapide des grandes villes du Sud : énergie, environnement, services essentiels et politiques à l'égard de l'habitat illégal.	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2008-188	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2009-190	Recherche sur les champs électriques pulsés pour une utilisation en alternative aux traitements thermiques en oenologie.	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2009-190	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2013-191	Consultation et expertise citoyenne: réseaux d'expertise et savoirs mobilisés dans le débat de la transition énergétique et le SRCAE en Pays de la Loire, Nord-Pas de Calais et Bretagne	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2013-191	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2012-204	Evaluation des Impacts et des risques toxiques des nanomatériaux manufacturés (de Titane et/ou de Carbone) sur les sols, les eaux et l'Homme par la mise au point d'un modèle RA-LCA (Risk Assessment- Life Cycle Assessment)	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2012-204	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2008-206	Impact de l'exposition au formaldéhyde et/ou au dioxyde d'azote sur la réponse de l'épithélium bronchique à l'allergène	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2008-206	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2014-207	Caractérisation, quantification et modélisation des processus de transfert et d'interaction CO2-eau-roche en milieu poreux carbonaté non saturé: application à une fuite brutale de CO2 en contexte de forage lors d'un stockage géologique.	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2014-207	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2010-208	Stockage géologique du CO2: Monitoring géochimique du pouvoir de rétention du CO2 dans la Zone Vadose en condition de fuite provoquée. Approche expérimentale sur site pilote naturel	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2010-208	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
these-ADEME-2005-212	Phytoremédiation des sols d'un site de traitement du bois contaminés par le cuivre	Thèses co-financées ADEME							2				https://scanr.enseignementsup-recherche.gouv.fr/project/these-ADEME-2005-212	2022-07-06T19:20:13.906Z	https://scanr.enseignementsup-recherche.gouv.fr/recherche/projects?aggregations=%5Bobject%20Object%5D&filters=%7B%22type%22%3A%7B%22type%22%3A%22MultiValueSearchFilter%22%2C%22op%22%3A%22any%22%2C%22values%22%3A%5B%22Th%C3%A8ses%20co-financ%C3%A9es%20ADEME%22%5D%7D%7D&query=&view=list
