"Projet.Code_Decision_ANR";"Projet.Acronyme";"Projet.Partenaire.Code_Decision_ANR";"Projet.Partenaire.Est_coordinateur";"Projet.Partenaire.Nom_organisme";"Projet.Partenaire.Categorie_organisme";"Projet.Partenaire.Responsable_scientifique.Nom";"Projet.Partenaire.Responsable_scientifique.Prenom";"Projet.Partenaire.Adresse.Ville";"Projet.Partenaire.Adresse.Region";"Projet.Partenaire.Adresse.Pays"
"ANR-05-BLAN-0170";"PATHOREGULOM";"ANR-05-BLAN-0170-02";False;"INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE -CENTRE DE RECHERCHE DE TOULOUSE";"Divers public";"CIERCO AYROLLES";"Christine";"";"";"France"
"ANR-05-BLAN-0170";"PATHOREGULOM";"ANR-05-BLAN-0170-01";True;"INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE -CENTRE DE RECHERCHE DE TOULOUSE";"Divers public";"BOUCHER";"Christian";"";"";"France"
"ANR-05-BLAN-0169";"MicroPlasRé";"ANR-05-BLAN-0169-01";True;"UNIVERSITE TOULOUSE III [PAUL SABATIER]";"Laboratoire public";"PITCHFORD";"Leanne";"";"";"France"
"ANR-05-BLAN-0169";"MicroPlasRé";"ANR-05-BLAN-0169-03";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR OUEST ET NORD";"Divers public";"ROUSSEAU";"Antoine";"";"";"France"
"ANR-05-BLAN-0169";"MicroPlasRé";"ANR-05-BLAN-0169-02";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE ILE-DE-FRANCE SECTEUR SUD";"Divers public";"PUECH";"Vincent";"";"";"France"
"ANR-05-BLAN-0166";"OsMir";"ANR-05-BLAN-0166-03";False;"INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE - CENTRE DE MONTPELLIER";"Divers public";"MOREL";"Jean Benoit";"";"";"France"
"ANR-05-BLAN-0166";"OsMir";"ANR-05-BLAN-0166-02";False;"CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LE DEVELOPPEMENT - CIRAD - DEPARTEMENT BIOS";"Divers public";"GUIDERDONI";"Emmanuel";"";"";"France"
"ANR-05-BLAN-0166";"OsMir";"ANR-05-BLAN-0166-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE LANGUEDOC-ROUSSILLON";"Divers public";"ECHEVERRIA";"Manuel";"";"";"France"
"ANR-05-BLAN-0164";"BIONANOCOMP";"ANR-05-BLAN-0164-03";False;"UNIVERSITE DORLEANS";"Laboratoire public";"GUERIN";"Martine";"";"";"France"
"ANR-05-BLAN-0164";"BIONANOCOMP";"ANR-05-BLAN-0164-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE CENTRE POITOU-CHARENTES";"Divers public";"SALVETAT";"Jean Paul";"";"";"France"
"ANR-05-BLAN-0164";"BIONANOCOMP";"ANR-05-BLAN-0164-02";False;"COMMISSARIAT A LENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES - CENTRE DETUDES NUCLEAIRES SACLAY";"Divers public";"ZANOTTI";"Jean Marc";"";"";"France"
"ANR-05-BLAN-0161";"POTES";"ANR-05-BLAN-0161-01";True;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE PROVENCE CORSE";"Divers public";"TAMBURINI";"Christian";"";"";"France"
"ANR-05-BLAN-0160";"";"ANR-05-BLAN-0160-01";True;"AUCUNEAIDE";"Laboratoire public";"BALAN";"Etienne";"";"";"France"
"ANR-05-BLAN-0159";"REPLIEMENT";"ANR-05-BLAN-0159-04";False;"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE - DELEGATION REGIONALE LANGUEDOC-ROUSSILLON";"Divers public";"ROYER";"Catherine";"Montpellier";"Occitanie";"France"
