"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"360","Department of Secondary and Higher Education","Qutantitative risk assessment from acute and chronic exposure of fine particulate matter due to anthropogenic emissions in the urban environment of mega-city Delhi","M. Mohan","Indian Institute of Technology (D)"," ",1900000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_4"
"361","Department of Secondary and Higher Education","Design and development of superconducting microwave components","A. Basu","Indian Institute of Technology (D)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_5"
"362","Department of Secondary and Higher Education","Design of a universal telecom access device for rural broadband access network","S. Kar","Indian Institute of Technology (D)"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_6"
"363","Department of Secondary and Higher Education","Low power design methodology for embedded processor based systems","P.R. Panda","Indian Institute of Technology (D)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_7"
"364","Department of Secondary and Higher Education","Application of knot theory in analyzing DNA Molecules","R. Mishra","Indian Institute of Technology (D)"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_8"
"365","Department of Secondary and Higher Education","Design and development of fuzzy controllers for high frequency DC-DC conversion systems","M. Veerachary","Indian Institute of Technology (D)"," ",2200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_9"
"366","Department of Secondary and Higher Education","Development of smart sensors","A.L. Vyas","Indian Institute of Technology (D)"," ",800000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_10"
"367","Department of Secondary and Higher Education","Organic-Inorganic semiconductor hybrid absorber for photovoltaic applications","V. Dutta","Indian Institute of Technology (D)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_11"
"368","Department of Secondary and Higher Education","Optical diagnostics of premixed producer gas air flames using digital holography","M.R. Ravi","Indian Institute of Technology (D)"," ",1400000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_12"
"369","Department of Secondary and Higher Education","Tool deflection compensation in peripheral milling of curved geometries","P.V.M. Rao","Indian Institute of Technology (D)"," ",2500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_13"
"370","Department of Secondary and Higher Education","Development of Technology for the manufacture of low-cost precision medical implants and HI-Tech Engineering Components","R. Kumar","Indian Institute of Technology (D)"," ",2000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_14"
"371","Department of Secondary and Higher Education","Electrospinning of nano fibres","M. Jassal","Indian Institute of Technology (D)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_15"
"372","Department of Secondary and Higher Education","A study of fluid and suspension flows in micro/nano meter sized channels: Application to bioseparations","M.S. Tirumkudulu","Indian Institute of Technology (B)"," ",2400000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_16"
"373","Department of Secondary and Higher Education","Communication system support for sensor networks","K. Paul","Indian Institute of Technology (B)"," ",500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_17"
"374","Department of Secondary and Higher Education","Analysis and design of Wireless, Mobile and Multiservice Communication Networks","V. Apte","Indian Institute of Technology (B)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_18"
"375","Department of Secondary and Higher Education","Development of Computer Workstation for Cerebral Palsy","G.G. Ray","Indian Institute of Technology (B)"," ",900000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_19"
"376","Department of Secondary and Higher Education","A fully compensated, hybrid, distributed generation system based on renewable energy sources-feasibility study and implementation","V. Agarwal","Indian Institute of Technology (B)"," ",1600000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_20"
"377","Department of Secondary and Higher Education","High-speed DSP-FPGA based Hardware and Software for Closed Loop Digital Control Systems for Power Electronic Converters","M. Chandorkar","Indian Institute of Technology (B)"," ",1300000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_21"
"378","Department of Secondary and Higher Education","A Nitride based Mosfet dosimeter requiring no external power supply","V.R. Rao","Indian Institute of Technology (B)"," ",3000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_22"
"379","Department of Secondary and Higher Education","Development of decision support system for project scheduling using Meta-Heuristics","K. Jain","Indian Institute of Technology (B)"," ",900000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_23"
"380","Department of Secondary and Higher Education","Studies on the powder injection moulding of micro gears using low cost powders","P.P. Date","Indian Institute of Technology (B)"," ",2500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_24"
"381","Department of Secondary and Higher Education","Coupling loss factors and loss factors for SEA in Vibration and Noise Studies","D.N. Manik","Indian Institute of Technology (B)"," ",1400000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_25"
"382","Department of Secondary and Higher Education","Thermal management in microelectronics packaging development of cooling solutions for the next generation microprocessors","B. Puranik","Indian Institute of Technology (B)"," ",2000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_26"
"383","Department of Secondary and Higher Education","Growth of ZnO epitaxial layers and nanowires by metalorganic vapor phase epitaxy","S. Bhunia","Indian Institute of Technology (B)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_27"
"384","Department of Secondary and Higher Education","Magnetoelectric composites for sensor application","N. Venkataramani","Indian Institute of Technology (B)"," ",1100000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_28"
"385","Department of Secondary and Higher Education","Molecular imprinted polymeric bio materials for catalysis in Organic Synthesis","M.L.N. Rao","Indian Institute of Technology (K)"," ",2200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_29"
"386","Department of Secondary and Higher Education","Structural, sequence & genomic data base analysis & simulations of specific transmembrane interactions to understand principles of membrane protein structures","R.S. Krishnan","Indian Institute of Technology (K)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_30"
"387","Department of Secondary and Higher Education","Human genome sequence: Identification of gene mutation signatures","S. Ganesh","Indian Institute of Technology (K)"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_31"
"388","Department of Secondary and Higher Education","Engineering thin mesoporous films for development of sensors","R. Bandyopadhyaya","Indian Institute of Technology (K)"," ",2000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_32"
"389","Department of Secondary and Higher Education","Development of soft sensor for polymerization reactors: On-line optimal control and gas entrapment","S.K. Gupta","Indian Institute of Technology (K)"," ",1900000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_33"
"390","Department of Secondary and Higher Education","Simulation and control of reactive distillation systems","N. Kaishta","Indian Institute of Technology (K)"," ",700000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_34"
"391","Department of Secondary and Higher Education","Out-of-Plane behavior of Masonry walls using shake table: An experimental study","S.K. Jain","Indian Institute of Technology (K)"," ",3600000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_35"
"392","Department of Secondary and Higher Education","Airborne altimetric LiDAR sensor: Comprehensive accuracy analysis through field verification and mathematical modeling","B. Lohani","Indian Institute of Technology (K)"," ",2800000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_36"
"393","Department of Secondary and Higher Education","Modeling of flood wave propagation","P.K. Mohapatra","Indian Institute of Technology (K)"," ",2800000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_37"
"394","Department of Secondary and Higher Education","Air quality management of fine particulate: Formation and source apportionment using finger printing technique","M. Sharma","Indian Institute of Technology (K)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_38"
"395","Department of Secondary and Higher Education","Machine learning Algorithms for computer vision","P. Mitra","Indian Institute of Technology (K)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_39"
"396","Department of Secondary and Higher Education","Context-aware programming and information dissemination over mobile/ad hoc networks","R.K. Ghosh","Indian Institute of Technology (K)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_40"
"397","Department of Secondary and Higher Education","Development of flexible neuron model and its applications","P.K. Kalra","Indian Institute of Technology (K)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_41"
"398","Department of Secondary and Higher Education","Technology development of tansparent cathode","R.S. Anand","Indian Institute of Technology (K)"," ",2600000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_42"
"399","Department of Secondary and Higher Education","Quantum neural network models-applications of quantum learning to health care system and visual tracking system","L. Behera","Indian Institute of Technology (K)"," ",2000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_43"
"400","Department of Secondary and Higher Education","Preparation and characterization of temperature sensor based on single crystal fibres","B. Lal","Indian Institute of Technology (K)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_44"
"401","Department of Secondary and Higher Education","Organic semi conductor electronics soler cell","S.S.K. Iyer","Indian Institute of Technology (K)"," ",1750000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_45"
"402","Department of Secondary and Higher Education","Development of micro force sensors for application in prosthetic and robotic hands","A. Dutta","Indian Institute of Technology (K)"," ",2500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_46"
"403","Department of Secondary and Higher Education","Particulate matter emission and lubricity studies on biodiesel fuelled transportation engine","A.K. Agarwal","Indian Institute of Technology (K)"," ",2500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_47"
"404","Department of Secondary and Higher Education","Numerical simulation of heterogeneous bubble growth","G. Biswas","Indian Institute of Technology (K)"," ",800000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_48"
"405","Department of Secondary and Higher Education","Synthesis of bone substitute biomaterials by chemical reaction milling","B.K. Mishra","Indian Institute of Technology (K)"," ",900000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_49"
"406","Department of Secondary and Higher Education","Development of novel multifunctional, multiferroic materials for future sensor and actuator technology","A. Garg","Indian Institute of Technology (K)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_50"
"407","Department of Secondary and Higher Education","Nanometer scale lithography using scanning tunneling microscope","A.K. Gupta","Indian Institute of Technology (K)"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_51"
"408","Department of Secondary and Higher Education","Evaluation of competitive mass transfer and degradation kinetics of lignin, humid substances, and xenobiotic compounds in agro residues and lignite by ligninase","R. Banerjee","Indian Institute of Technology (Kh)"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_52"
"409","Department of Secondary and Higher Education","Scale-up studies on the production of therapeutically important protein (FGF8) by recumbent E. Coli","D. Das","Indian Institute of Technology (Kh)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_53"
"410","Department of Secondary and Higher Education","Development of sensors for gas-liquid and liquid-liquid two phase flow","G. Das","Indian Institute of Technology (Kh)"," ",1400000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_54"
"411","Department of Secondary and Higher Education","Natural gas processing: Removal of carbon dioxide and hydrogen sulfide from Sour Gas Streams","S.S. Bandyopadhyay","Indian Institute of Technology (Kh)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_55"
"412","Department of Secondary and Higher Education","Design and development plasma spark sintering facility for nano material compaction","N.K. Kishore","Indian Institute of Technology (Kh)"," ",2000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_56"
"413","Department of Secondary and Higher Education","Software reliability testing and modeling for Safety and High Risk Applications","V.N.A. Naikan","Indian Institute of Technology (Kh)"," ",800000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_57"
"414","Department of Secondary and Higher Education","Surface integrity in High Efficiency Grinding by Super-Abrasive Wheels","S. Paul","Indian Institute of Technology (Kh)"," ",2500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_58"
"415","Department of Secondary and Higher Education","Development and characterization of novel nanocrystalline metallic/ceramic based hydrogen sensor materials","I. Manna","Indian Institute of Technology (Kh)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_59"
"416","Department of Secondary and Higher Education","Development of Terahertz sensors for biomedical imaging and remote detection of chemical/biological warfare agents","S.K. Ray","Indian Institute of Technology (Kh)"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_60"
"417","Department of Secondary and Higher Education","Development of polymer nanocomposite based rechargeable solid-state Lithium Batteries for Ambient and sub-ambient temperature applications","A.K. Thakur","Indian Institute of Technology (Kh)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_61"
"418","Department of Secondary and Higher Education","Molecular characterization and cloning of Folate Binding Protein in Yeast","R.S. Verma","Indian Institute of Technology (M)"," ",2200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_62"
"419","Department of Secondary and Higher Education","Recycling of printed circuit boards waste","A.P. Deshpande","Indian Institute of Technology (M)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_63"
"420","Department of Secondary and Higher Education","Investigations on modern technologies for construction of road/rail embankments on Soft Clay Soils","K. Rajagopal","Indian Institute of Technology (M)"," ",2300000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_64"
"421","Department of Secondary and Higher Education","Hardware development for precision sampling based measuring systems","V. Jayashankar","Indian Institute of Technology (M)"," ",2500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_65"
"422","Department of Secondary and Higher Education","Development of plasma sintering test facility and characterization of sintered namo aluminium particles","R. Sarathi","Indian Institute of Technology (M)"," ",1800000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_66"
"423","Department of Secondary and Higher Education","Studies on cryogenic treatment in enhancing the material properties of gears and bearings","K. Gopinath","Indian Institute of Technology (M)"," ",2500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_67"
"424","Department of Secondary and Higher Education","Development of a oral simulator and studies on new dental restorative materials","R. Gnanamoorthy","Indian Institute of Technology (M)"," ",1700000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_68"
"425","Department of Secondary and Higher Education","Porous medium enhanced energy efficient solar parabolic trough collector","K.S. Reddy","Indian Institute of Technology (M)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_69"
"426","Department of Secondary and Higher Education","Performance evaluation of diamond-like carbon coated Ti-6AI-4V for biomedical applications","S.D. Pathak","Indian Institute of Technology (M)"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_70"
"427","Department of Secondary and Higher Education","Development of Ni-Ti shape memory alloys for actuators through powder metallurgy route and their characterization","V. Sampath","Indian Institute of Technology (M)"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_71"
"428","Department of Secondary and Higher Education","Nanocrystalline titania: Superplastic deformation and diffusion bonding studies","S.S. Bhattacharya","Indian Institute of Technology (M)"," ",1100000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_72"
"429","Department of Secondary and Higher Education","High performance evaluation of advanced high temperature materials for aerospace applications","M. Kamaraj","Indian Institute of Technology (M)"," ",1100000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_73"
"430","Department of Secondary and Higher Education","Evaluation of Beauveria bassiana Vuill and metarhizium anisopliae Srokin isolated for virulence, development of DNA markers & transformation studies","G.K. Saini","Indian Institute of Technology (G)"," ",1400000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_74"
"431","Department of Secondary and Higher Education","Optimum design of laminated FRP composite structures","D. Chakraborty","Indian Institute of Technology (G)"," ",800000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_75"
"432","Department of Secondary and Higher Education","Indian strategy towards ASEAN for high economic growth","P.R. Bhatt","Indian Institute of Management (Koz)"," ",600000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_76"
"433","Department of Secondary and Higher Education","Modelling and analysis of supply chain networks","N. Singh","Indian Institute of Management (I)"," ",500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_77"
"434","Department of Secondary and Higher Education","Design and development of low bit rate real time applications of multi rate systems","E. Elias","National Institute of Technology (Kozhikode)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_78"
"435","Department of Secondary and Higher Education","Design and implementation of Algorithms for quality of service provisioning over IEEE802.11 wireless LAN","L.K. Jacob","National Institute of Technology (Kozhikode)"," ",750000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_79"
"436","Department of Secondary and Higher Education","Unified expert controller strategy design for hybrid energy system","S. Ashok","National Institute of Technology (Kozhikode)"," ",1400000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_80"
"437","Department of Secondary and Higher Education","Development of new composite material based on aluminum matrix composite and study of it's mechanical behavior","K.P. Nair","National Institute of Technology (Kozhikode)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_81"
"438","Department of Secondary and Higher Education","Molecular modeling studies on Anthraquinone based anticancer drugs","L.K. Awasthi","National Institute of Technology (Hamirpur)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_82"
"439","Department of Secondary and Higher Education","Congestion management of restructures power sector with renewable energy sources","Y.R. Sood","National Institute of Technology (Hamirpur)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_83"
"440","Department of Secondary and Higher Education","Contigency screening and ranking for voltage stability","S. Chauhan","National Institute of Technology (Hamirpur)"," ",600000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_84"
"441","Department of Secondary and Higher Education","Development of efficient turbo codes for 3G/4G mobile","M. Salim","Malaviya National Institute of Technology"," ",850000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_85"
"442","Department of Secondary and Higher Education","Computer controlled cycloconverter (half and full wave) fed cage induction motor drive","H.P. Tiwari","Malaviya National Institute of Technology"," ",1300000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_86"
"443","Department of Secondary and Higher Education","To study the effect of Al-Ti-C master alloys on grain refinement, micro structure and properties of aluminium foundary alloys","A. Sharma","Malaviya National Institute of Technology"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_87"
"444","Department of Secondary and Higher Education","Investigations on reconfigurable computing systems","I. Saini","Dr. B.R. Ambedkar National Institute of Technology"," ",800000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_88"
"445","Department of Secondary and Higher Education","Robot for cleaning railway tracks at platforms","K. Singh","Dr. B.R. Ambedkar National Institute of Technology"," ",1300000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_89"
"446","Department of Secondary and Higher Education","Investigation of damping in fiber reinforced composites","S.K. Tiwari","Dr. B.R. Ambedkar National Institute of Technology"," ",2000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_90"
"447","Department of Secondary and Higher Education","Evaluation of In-cylinder combustion of bio-diesels","A. Trehan","Dr. B.R. Ambedkar National Institute of Technology"," ",2000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_91"
"448","Department of Secondary and Higher Education","Designing nonwoven fabric for pulse-jet filtration","A. Mukhopadhyay","Dr. B.R. Ambedkar National Institute of Technology"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_92"
"449","Department of Secondary and Higher Education","Studies on sorption in metal contaminated water purification by environmentally available low cost sorbents","T.K. Sen","National Institute of Technology (Rourkela)"," ",700000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_93"
"450","Department of Secondary and Higher Education","Evaluation of low cost defluoridation technology","R.K. Patel","National Institute of Technology (Rourkela)"," ",850000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_94"
"451","Department of Secondary and Higher Education","Study on mechanical, thermal & dielectric properties of environmentally conditioned Jute Fiber Reinforced Polymer composite","D.K. Bisoyi","National Institute of Technology (Rourkela)"," ",500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_95"
"452","Department of Secondary and Higher Education","Strength characteristics of shallow foundations in geosynthetic reinforced soil","C.R. Patra","National Institute of Technology (Rourkela)"," ",1400000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_96"
"453","Department of Secondary and Higher Education","Development of mobile communication receiver algorithms on embedded systems using Real Time Operating system","S.K. Patra","National Institute of Technology (Rourkela)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_97"
"454","Department of Secondary and Higher Education","Fault tolerant real time dynamic scheduling algorithm for heterogeneous distributed system","B.D. Sahoo","National Institute of Technology (Rourkela)"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_98"
"455","Department of Secondary and Higher Education","Development of efficient switch-mode DC-DC converters with least size and weight","A.K. Panda","National Institute of Technology (Rourkela)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_99"
"456","Department of Secondary and Higher Education","Soft computing approach for adaptive equalization of digital communication channels","J.K. Satapathy","National Institute of Technology (Rourkela)"," ",400000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_100"
"457","Department of Secondary and Higher Education","Development of smart sensors for accurate pressure measurement using soft computing techniques","G. Panda","National Institute of Technology (Rourkela)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_101"
"458","Department of Secondary and Higher Education","Laboratory investigation into development of flyash based composite material for under-ground placement to enhance mine economics","M.K. Mishra","National Institute of Technology (Rourkela)"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_102"
"459","Department of Secondary and Higher Education","A hardware development project on cooperative task using real mobile robots by Al technique","D.R. Parhi","National Institute of Technology (Rourkela)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_103"
"460","Department of Secondary and Higher Education","Fault detection, diagnosis and tolerance in industrial processes: Implementation issues and scopes","B.K. Roy","National Institute of Technology (Silchar)"," ",500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_104"
"461","Department of Secondary and Higher Education","Application of soft computational techniques to electrical engineering","N. Sinha","National Institute of Technology (Silchar)"," ",400000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_105"
"462","Department of Secondary and Higher Education","Investigative study of cursive script recognition","A. Swarup","National Institute of Technology (Kurukshetra)"," ",500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_106"
"463","Department of Secondary and Higher Education","E-Based Technical Teachers' orientation programme","S.K. Chakarvarti","National Institute of Technology (Kurukshetra)"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_107"
"464","Department of Secondary and Higher Education","Integration of design and analysis phase in product development cycle","P. Tandon","National Institute of Technology (Kurukshetra)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_108"
"465","Department of Secondary and Higher Education","Study on flow characteristics of labyrinth weirs","P.D. Porey","Visvesvaraya National Institute of Technology"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_109"
"466","Department of Secondary and Higher Education","Development of software testing tools using performance and functional testing methodologies and certification programme","A.S. Mokhade","Visvesvaraya National Institute of Technology"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_110"
"467","Department of Secondary and Higher Education","Simulation of self organising procosses in CMOS environment (VLSI technology)","R.M. Patrikar","Visvesvaraya National Institute of Technology"," ",1100000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_111"
"468","Department of Secondary and Higher Education","Protocol validation system for network on chip","A.S. Gandhi","Visvesvaraya National Institute of Technology"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_112"
"469","Department of Secondary and Higher Education","Investigations on influence of Geotechnical characteristics on the design of benches and slopes in opencast mines of Wardha Valley Coalfields","I.L. Muthreja","Visvesvaraya National Institute of Technology"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_113"
"470","Department of Secondary and Higher Education","Advanced engineering techniques applied to the dental and orthopedic problems","P.M. Padole","Visvesvaraya National Institute of Technology"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_114"
"471","Department of Secondary and Higher Education","Development of low cost copper alloy to substitute 90-10 Cu-Ni alloy for sulfide polluted sea water","A.P. Patil","Visvesvaraya National Institute of Technology"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_115"
"472","Department of Secondary and Higher Education","Design, development and experimental investigations on Annular type combustion chamber for small gas turbine application","S.A. Channiwala","Sardar Vallabhbhai National Institute of Technology"," ",2000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_116"
"473","Department of Secondary and Higher Education","Development of new bio degradable polymers","D.K. Bhat","National Institute of Technology (Surathkal)"," ",900000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_117"
"474","Department of Secondary and Higher Education","Cadmium telluride semiconductor thin films for optoelectronic sensor applications","G.K. Shivkumar","National Institute of Technology (Surathkal)"," ",600000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_118"
"475","Department of Secondary and Higher Education","Optical sensors with high-speed optical limiting materials","K. Chandrasekharan","National Institute of Technology (Surathkal)"," ",600000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_119"
"476","Department of Secondary and Higher Education","Design and evaluation of an object oriented verification approach for distributed software systems","Annappa","National Institute of Technology (Surathkal)"," ",1200000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_120"
"477","Department of Secondary and Higher Education","Evaluation, design and cost analysis of illumination system in surface mine projects","M. Aruna","National Institute of Technology (Surathkal)"," ",650000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_121"
"478","Department of Secondary and Higher Education","Active vibration control of flexible structures using magnetostrictive materials","R. Kadoli","National Institute of Technology (Surathkal)"," ",1500000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_122"
"479","Department of Secondary and Higher Education","Fluidized bed combustion of agro-wastes","G.V. Reddy","National Institute of Technology (Warangal)"," ",1800000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_123"
"480","Department of Secondary and Higher Education","Studies on modeling and noise reductiion in VLSI interconnect structures in the deep submicron regime","N.S. Murthy","National Institute of Technology (Warangal)"," ",850000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_124"
"481","Department of Secondary and Higher Education","Distributed shared memory implementation using page based memory management unit","T. Ramesh","National Institute of Technology (Warangal)"," ",1000000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_125"
"482","Department of Secondary and Higher Education","Development of efficient models for frequency related availability tariffs in deregulated environment","N. Subrahmanyam","National Institute of Technology (Warangal)"," ",700000,42,"2004-05","DOSHE","Indian Rupees","Months","DOSHE_2004-05_126"
