"","Funding_Agency","Project_Title","Investigator_Name","Institution_Name","Address1","Cost","Duration","Year","Funding_Agency_Short","Cost_Units","Duration_Units","ProjectID"
"1","Coal India Limited","Indigenous development of PLC based integrated central & monitoring system for conveyors & other equipment of underground mines","J.K. Pandey","Central Mine Planning & Design Institute","Department of Micro Electronics",2575000,36,"2006-07","CIL","Indian Rupees","Months","CIL_2006-07_1"
"2","Coal India Limited","Indigenous development of PLC based integrated central & monitoring system for conveyors & other equipment of underground mines (A joint project in association with CMPDI, Ranchi","N. Neogi","Steel Authority of India Ltd.","R&D Centre for Iron & Steel",15625000,36,"2006-07","CIL","Indian Rupees","Months","CIL_2006-07_2"
