NOMBRE DEL SUJETO DE APOYO,NOMBRE DEL PROYECTO,SECTOR,MONTO
UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,ESTUDIO DE BOMBAS DE CALOR Y TRANSFORMADORES DE CALOR POR ABSORCION USANDO UNA SOLUCION DE TRABAJO O UN CICLO NUEVO,PUBLICO,20000
UNIVERSIDAD AUTONOMA DE COAHUILA,INTEGRAL PROCESS FOR FUCOSIDASES PRODUCTION BY SOLID-STATE FERMENTATION: SCALE-UP AND DOWNSTREAM (ESTUDIO DEL PROCESO INTEGRAL DE LA PRODUCCION DE FUCOSIDASAS POR FERMENTACION EN MEDIO SOLIDO: ESCALAMIENTO Y DOWNTREAM),PUBLICO,20000
"CONSTRUCTORA INTEGRAL DE COLIMA, S. A. DE C. V.",PLATAFORMA INTELIGENTE PARA EL MONITOREO DE LA SALUD (PLAIMOS),PRIVADO,1841664
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,?MATERIALES MOLECULARES CON PROPIEDADES DE OPTICA NO LINEAL CONMUTABLES?,PUBLICO,184500
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,BI-CONJUNTOS Y FUNTORES ASOCIADOS,PUBLICO,210000
"SITELDI SOLUTIONS, S.A. DE C.V.",INVESTIGACION Y DESARROLLO DE UNA PLATAFORMA INTEGRAL DE SERVICIOS E-SALUD Y TELE-SALUD ESPECIALIZADOS EN LA PREVENCION SOCIAL EN SALUD DE LA CRONICIDAD Y DEPENDENCIA FUNCIONAL DE PACIENTES (ESTS - ECDP),PRIVADO,1582500
UNIVERSIDAD AUTONOMA DE NUEVO LEON,CONTROL Y OBSERVACION ROBUSTA AUTO-AJUSTABLE DE MAQUINAS VOLADORAS AUTONOMAS: UNA SOLUCION PARA LA ORIENTACION/CONTROL DE CUADRIRROTORES DE BAJO COSTO,PUBLICO,304800
"COMEX INDUSTRIAL COATINGS, S.A. DE C.V.",DESARROLLO DE UNA PLATAFORMA TECNOLOGICA DE RECUBRIMIENTOS ANTIVEGETATIVOS DE BAJO IMPACTO AMBIENTAL,PRIVADO,2744486.25
UNIVERSIDAD AUTONOMA METROPOLITANA,DYNAMICS OF NEUTRAL AND CHARGED OBJECTS IN GRAVITATIONAL FIELDS COUPLED TO NON-LINEAR ELECTRODYNAMICS,PUBLICO,127200
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,"AUMENTO EN LA PRODUCCION DE PROPIONATO Y DISMINUCION DE METANO A NIVEL RUMINAL MEDIANTE EL DESARROLLO DE PRODUCTOS BIOTECNOLOGICOS, PARA MEJORAR LA PRODUCCION DE CARNE Y LECHE",PUBLICO,1645000
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,MOLECULAR-GENETIC APPROACHES IN BIODIVERSITY RESEARCH,PUBLICO,136000
UNIVERSIDAD AUTONOMA METROPOLITANA,¨FUGA O SUMA DE CEREBROS? MIGRACION CALIFICADA DEL SUR DE EUROPA A LAS NUEVAS CIUDADES EMERGENTES MEXICANA,PUBLICO,412672
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,NUEVAS PLATAFORMAS ENERGETICAS BASADAS EN MATERIALES HIBRIDOS NOVEDOSOS,PUBLICO,401000
INSTITUTO TECNOLOGICO DE BOCA DEL RIO,APROVECHAMIENTO DE EFLUENTES DEL CULTIVO DE CAMARON PARA LA PRODUCCION SUSTENTABLE DE BIODIESEL A PARTIR DE MICROALGAS MARINAS,PUBLICO,510000
UNIVERSIDAD AUTONOMA DE QUERETARO,MODELACION DE LA TRANSFERENCIA DE AGUA Y EL TRANSPORTE DE CADMIO Y PLOMO EN LA ZONA AGRICOLA DE SAN JUAN DEL RIO QUERETARO,PUBLICO,575000
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,EXPLOITING NATURAL RESISTANCE TRAITS FOR AN ENVIRONMENTALLY SAFE PROTECTION OF BEAN FROM DISEASE AND PESTS,PUBLICO,1609000
UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,EVALUACION DE LA EFICACIA DE UN PROGRAMA DE PREVENCION DE OBESIDAD DURANTE DOS ANOS ESCOLARES EN NINOS DE 2DO A 4TO DE PRIMARIA DE TRES CIUDADES FRONTERIZAS CON LOS ESTADOS UNIDOS,PUBLICO,681620
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,DISENO Y CONSTRUCCION DE UNA HERRAMIENTA PROTOTIPO BASADA EN TECNOLOGIA DE ADN DE DETECCION DE AGENTES DE RIESGO PARA LA SALUD EN MUESTRAS AMBIENTALES Y DE ALIMENTOS,PUBLICO,2265000
UNIVERSIDAD VERACRUZANA,ESTUDIO SOBRE LA VULNERABILIDAD Y RESILIENCIA SOCIAL FRENTE A LOS EMBATES DEL CAMBIO CLIMATICO EN POBLACION DE MUNICIPIOS DE ALTO RIESGO DE LA ZONA CENTRO DEL ESTADO DE VERACRUZ,PUBLICO,401090
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,GUIANDO COMPORTAMIENTOS PARA MEJORAR LA MOVILIDAD URBANA,PUBLICO,192000
UNIVERSIDAD AUTONOMA DE GUADALAJARA,TRANSFERENCIA DE NITROGENO ORGANICO A TRAVES DE SIMBIOSIS BACTERIANA DISENADA COMO UNA ESTRATEGIA PARA EVITAR LA DEGRADACION DE SUELOS POR FERTILIZANTES NITROGENADOS Y AUMENTAR LA PRODUCTIVIDAD DE CULTIVOS CON IMPORTANCIA ALIMENTICIA,PRIVADO,595000
UNIVERSIDAD AUTONOMA DE NUEVO LEON,IMAGINARIOS DE LA DISCAPACIDAD Y LA EXCLUSION: SU IMPACTO EN LA CONSTRUCCION DE LAS CIUDADES MEXICANAS.,PUBLICO,1242860
UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,EFECTO DE LA SUPLEMENTACION CON ACIDOS GRASOS OMEGA 3 Y VITAMINA D SOBRE PROCESO INMUNO-INFLAMATORIO EN PACIENTES CON DIEBETES MELLITUS TIPO 2 EN MEXICO,PUBLICO,527447
UNIVERSIDAD AUTONOMA DE QUERETARO,"GENERACION DE INDICADORES DE DESEMPENO DEL TRANSPORTE DE CARGA EN CIUDADES MEXICANAS, EN APOYO AL DISENO DE POLITICAS ENERGETICAS Y DE DESARROLLO SUSTENTABLE.",PUBLICO,291566
UNIVERSIDAD AUTONOMA DE GUERRERO,"INSTITUCIONALIZACION DE UNA PROPUESTA ECOLOGICA SUSTENTABLE PARA REDUCIR EL RIESGO DE DENGUE EN GUERRERO, MEXICO: CAMINO VERDE",PUBLICO,1500000
CENTRO DE INVESTIGACION Y DESARROLLO TECNOLOGICO EN ELECTROQUIMICA S.C.,NON INVASIVE DIAGNOSTIC AND ELECTROKINETIC REMEDIATION POSSIBILITIES OF SOILS CONTAMINATED BY HYDROCARBONS.,PUBLICO,108000
COLEGIO DE POSTGRADUADOS,"IMPACTO DEL CAMBIO CLIMATICO Y LA ACTIVIDAD AGRICOLA EN LA EMISION DE GASES DE EFECTO DE INVERNADERO Y EN LOS RECURSOS MICROBIANOS DE LA SIERRA NEVADA, MEXICO",PUBLICO,2067820
UNIVERSIDAD DE SONORA,"DESARROLLO DE METODOS DE IMAGENOLOGIA TERMICA DINAMICA TRIDIMENSIONAL PARA LA DETECCION PRECOZ DEL CANCER DE MAMA,",PUBLICO,812948
UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,ELABORACION DE UN MICROENCAPSULADO POR UN PROCESO BIOTECNOLOGICO DE LOS COMPONENTES DEL JUGO DE LOS ARILOS DE GRANADA (PUNICA GRANATUM L) Y SU EVALUACION BIOLOGICA EN RATAS WISTAR CON SINDROME METABOLICO INDUCIDO,PUBLICO,827500
UNIVERSIDAD AUTONOMA DE NUEVO LEON,VALIDACION DEL USO DE BACTEROIDALES COMO INDICADORES DE FUENTES DE CONTAMINACION FECAL EN LA CADENA DE PRODUCCION DE VEGETALES,PUBLICO,648406
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,OBTENCION DE RHIZOBACTERIAS FIJADORAS DE NITROGENO CAPACES DE POBLAR SEMILLAS DE LEGUMINOSAS Y LOGRAR CULTIVOS AUTOINOCULADOS,PUBLICO,1818000
UNIVERSIDAD AUTONOMA DE NUEVO LEON,PLANEACION PARA LA COMPLEJA ESTRUCTURA DEL TRANSPORTE URBANO EN MEXICO A TRAVES DE LA OPTIMIZACION PARA LA REDUCCION DE COSTOS Y CONSUMO ENERGETICO,PUBLICO,565000
UNIVERSIDAD VERACRUZANA,DESARROLLO DE UN SISTEMA DE VIGILANCIA EPIDEMIOLOGICO MOLECULAR EN TUBERCULOSIS,PUBLICO,500000
UNIVERSIDAD AUTONOMA DE COAHUILA,CARBON BAJO AZUFRE PARA LA GENERACION DE ENERGIA MAS LIMPIA. DESULFURACION POR ELECTRO-OXIDACION AVANZADA.,PUBLICO,824000
UNIVERSIDAD AUTONOMA DE COAHUILA,ALTERNATIVAS NANOBIOTECNOLOGICAS PARA EL APROVECHAMIENTO DE RESIDUOS AGROALIMENTARIOS PARA LA OBTENCION DE BIOCOMBUSTIBLES DE SEGUNDA GENERACION,PUBLICO,804000
"CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE, S.C.",IMPLEMENTACION DE UN SISTEMA DE MONITOREO BIOLOGICO AMBIENTAL DE FLORECIMIENTOS ALGALES NOCIVOS Y SU RELACION CON LA VARIABILIDAD AMBIENTAL EN EL NOROESTE DE MEXICO,PUBLICO,2066299
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,OBTENCION DE PLANTAS DE MAIZ CON RESISTENCIA A CALOR Y/O SEQUIA MEDIANTE CISGENESIS,PUBLICO,600000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INVESTIGACION Y EVALUACION DEL EFECTO DE LA CONTAMINACION POR RUIDO EN VIVIENDAS DE MEXICO.,PUBLICO,1901198
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,"ESTRATEGIAS PARA CONTRARRESTAR LOS EFECTOS DEL ENVEJECIMIENTO, MIOPATIAS Y SINDROME METABOLICO DERIVADOS DE DISFUNCIONES MITOCONDRIALES",PUBLICO,1932000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,EXPLORACION DE HERRAMIENTAS DE LA NANOTECNOLOGIA PARA EL DESARROLLO DE UN DIAGNOSTICO RAPIDO DE TUBERCULOSIS.,PUBLICO,716000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CARACTERIZACION BIOLOGICA DE ANDAMIOS DE COLAGENA TIPO I PARA SUSTITUTOS CUTANEOS,PUBLICO,794045
INSTITUTO NACIONAL DE SALUD PUBLICA,"ESTRES PSICOLOGICO, VIOLENCIA Y SALUD EN MUJERES MEXICANAS",PUBLICO,466112
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,BIOCOMBUSTIBLES DE LOS LATEX DEL GUAYULE (PARTHENIUM ARGENTATUM) Y DEL HULE NATURAL DE LAS ESPECIES CASTILLA ELASTICA Y HEVEA BRASILIENSIS.,PUBLICO,840000
TENEDORA NEMAK S.A. DE C.V.,SISTEMA DE VISION Y ROBOTICA AVANZADA PARA AUTOMATIZACION DE CELDA DE POST-PROCESAMIENTO SELECTIVO DE FUNDICIONES DE ALUMINIO DE ALTA TECNOLOGIA,PRIVADO,4956562
UNIVERSIDAD AUTONOMA DE NUEVO LEON,DESARROLLO DE SISTEMAS ANTIMICROBIANOS BASE DE NANOPARTICULAS PARA INCREMENTAR LA VIDA UTIL DE FRUTAS Y VEGETALES,PUBLICO,776800
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,RESCATE DE ESPECIES SUBVALORADAS TRADICIONALES DE LA DIETA MEXICANA Y SU CONTRIBUCION PARA EL MEJORAMIENTO DE LA NUTRICION EN MEXICO,PUBLICO,1612565.8
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,IMPACTOS DEL CAMBIO CLIMATICO Y GLOBAL EN ZONAS COSTERAS DE MEXICO,PUBLICO,2393325.43
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,TRATAMIENTO A NIVEL PROTOTIPO DE AGUAS RESIDUALES PROCEDENTES DE LA INDUSTRIA UTILIZANDO RADIACION SOLAR CONCENTRADA,PUBLICO,1968400
UNIVERSIDAD AUTONOMA DE YUCATAN,SISTEMA DE PREDICCION DE FOCOS DE TRANSMISION DE ENFERMEDADES ZOONOTICAS,PUBLICO,668000
UNIVERSIDAD DE SONORA,RESINAS FUNCIONALIZADAS PARA RETENER IONES METALICOS DE AGUAS CONTAMINADAS.,PUBLICO,651000
CENTRO DE INVESTIGACIONES Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,CIUDADANIA MULTIPLE MEXICO-ESTADOS UNIDOS; ESTRATEGIAS FAMILIARES Y MIGRACION DE RETORNO,PUBLICO,1159550
UNIVERSIDAD AUTONOMA DE NUEVO LEON,DESARROLLO DE UNA HERRAMIENTA MOLECULAR PARA LA CORRECTA ELECCION TERAPEUTICA EN LINFOMA DIFUSO DE CELULAS GRANDES B (LDCGB),PUBLICO,445000
"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",ECOGENOMICA DE VIRUS DE FRIJOL EN POBLACIONES SILVESTRES Y DOMESTICADAS EN EL CENTRO MESOAMERICANO DE DOMESTICACION DEL CENTRO-OCCIDENTE DE MEXICO,PUBLICO,640555
EL COLEGIO DE LA FRONTERA SUR,VULNERABILIDAD SOCIAL Y BIOLOGICA ANTE EL CAMBIO CLIMATICO EN LA RESERVA DE LA BIOSFERA SELVA EL OCOTE,PUBLICO,2136930
BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,USO DE EXTRACTOS DEL PICUDO (CONOTRACHELUS DIMIDIATUS) PARA PRODUCIR UN SEMIOQUIMICO CONTRA LA OVIPOSICION EN EL FRUTO DE LA GUAYABA,PUBLICO,2793800
INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,"VALIDACION DE UN MODELO DE ATENCION INTEGRAL PARA LA ATENCION DEL PACIENTE CON DIABETES, APLICABLE EN LOS PRIMEROS CINCO ANOS DE EXPOSICION A LA ENFERMEDAD",PUBLICO,510640
INSTITUTO POLITECNICO NACIONAL,EFECTOS DE LA GESTION DE LAS AGUAS RESIDUALES DOMESTICAS SOBRE LA SALUD AMBIENTAL EN LA CUENCA SAN PEDRO- MEZQUITAL Y MEDIDAS DE MITIGACION,PUBLICO,2425000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,"PROGRAMA DE PREVENCION Y TRATAMIENTO DE LA OBESIDAD INFANTIL A TRAVES DEL CAMBIO DE HABITOS, Y APOYADO POR LAS TECNOLOGIAS DE LA INFORMACION Y COMUNICACION (TICS)",PUBLICO,422633
UNIVERSIDAD AUTONOMA DE GUERRERO,"IMPACTO DE TECNICOS DE SALUD INTERCULTURAL, COMO APOYO A LA PARTERIA TRADICIONAL, EN LA MATERNIDAD SEGURA Y SEGURIDAD CULTURAL DE LOS PUEBLOS INDIGENAS DE GUERRERO, MEXICO: ENSAYO ALEATORIO POR CONGLOMERADOS.",PUBLICO,1733755
"INSTITUTO DE ECOLOGIA, A.C.",EFECTO DEL CAMBIO DEL USO DE SUELO SOBRE CALIDAD Y SUSTENTABILIDAD DE ACUIFEROS EN EL NORTE ARIDO DE MEXICO,PUBLICO,803300
"FEMSA LOGISTICA, S.A. DE C.V.",PLATAFORMA DE DESARROLLO DE VEHICULOS DE NUEVA GENERACION PARA FLOTILLAS URBANAS SOSTENIBLES,PRIVADO,4637710
INSTITUTO POLITECNICO NACIONAL,ESTUDIO DE VIRUS FITOPATOGENOS DEL GENERO BEGOMOVIRUS EN PLANTAS SILVESTRES PARA CONTRIBUIR EN EL MANEJO DE ENFERMEDADES EN LA HORTICULTURA DE MEXICO,PUBLICO,535000
UNIVERSIDAD AUTONOMA DE NUEVO LEON,UN NUEVO INDICADOR PARA INCREMENTAR LA SENSIBILIDAD DEL ACTUAL SISTEMA DE VIGILANCIA EPIDEMIOLOGICO DEL DENGUE BASADO EN CASOS CLINICOS: DETECCION DE DENV EN MOSQUITOS DOMICILIARES AEDES AEGYPTI UTILIZANDO LA TECNICA DE RT-PCR,PUBLICO,710000
UNIVERSIDAD AUTONOMA DE NUEVO LEON,"EVALUACION, IN VITRO, DE COMPUESTOS ACTIVOS DE ALGAS DE COSTAS MEXICANAS, CONTRA SARAMPION Y RUBEOLA: A) EFECTO ANTIVIRAL, B) EFECTO INMUNOMODULADOR Y C) EFECTO MODULADOR DE GENES DE ENZIMAS METABOLIZADORAS DE FARMACOS (CYP)",PUBLICO,677000
INSTITUTO POLITECNICO NACIONAL,DISENO Y CONSTRUCCION DE UN DISPOSITIVO PORTATIL BASADO EN RUIDO MAGNETICO BARKHAUSEN PARA LA INSPECCION NO DESTRUCTIVA DE TENSION Y DEFORMACION EN DUCTOS DE PETROLEO,PUBLICO,442276.75
CENTRO DE INVESTIGACION CIENTIFICA DE YUCATAN,BASE BIOTECNOLOGICA PARA LA INNOVACION Y EL DESARROLLO DE VARIEDADES DE CANA DE AZUCAR TOLERANTES A SEQUIA PARA ZONAS DE TEMPORAL EN MEXICO-PRIMERA ETAPA,PUBLICO,2253542
INSTITUTO NACIONAL DE REHABILITACION,CREACION DE INJERTO OSTEOCARTILAGINOSO TRIDIMENSIONAL POR IMPRESION ROBOTIZADA USANDO CELULAS TRONCALES AUTOLOGAS; UNA NUEVA ESTRATEGIA PARA EL TRATAMIENTO DE OSTEOARTRITIS.,PUBLICO,659000
UNIVERSIDAD TECNOLOGICA DE LA MIXTECA,"DESARROLLO DE UNA BEBIDA FUNCIONAL A BASE DE EXTRACTOS POLIFENOLICOS OBTENIDOS A PARTIR DE CASCARA DE GRANADA (PUNICA GRANATUM) ASI COMO DE VINAZAS MEZCALERAS, Y LA EVALUACION DE SU PROPIEDAD VIRUCIDA SOBRE EL VIRUS SINCITIAL RESPIRATORIO HUMANO",PUBLICO,590000
INSTITUTO NACIONAL DE SALUD PUBLICA,"ENTEROBACTERIAS RESISTENTES A ANTIBIOTICOS, EN LA INTERFASE SALUD ANIMAL Y HUMANA",PUBLICO,1720000
"INSTITUTO DE ECOLOGIA, A.C.",RECUPERACION DE LA CALIDAD DEL AGUA EN CUERPOS DE AGUA URBANOS CONTAMINADOS MEDIANTE EL USO DE HUMEDALES FLOTANTES,PUBLICO,495925
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CARACTERIZACION DE HUELLAS TEXTUALES PARA ANALISIS FORENSE,PUBLICO,1331000
FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES,POLITICA Y GESTION MIGRATORIA EN MEXICO: CAMBIOS RECIENTES E IMPACTO SOBRE LA POBLACION EXTRANJERA.,PUBLICO,641944
COLEGIO DE POSTGRADUADOS,ATLAS DE RIESGO Y VULNERABILIDAD POR LA DISPERSION DE METALES PESADOS POR VIENTO Y LIXIVIADOS DE RESIDUOS DE MINA,PUBLICO,765000
INSTITUTO NACIONAL DE SALUD PUBLICA,EVALUACION DE LA EFECTIVIDAD Y LA EFICIENCIA TECNICA EN LA PRODUCCION DE SERVICIOS DE CONTROL DE DIABETES EN MEXICO: UN ESTUDIO PILOTO,PUBLICO,2000000
UNIVERSIDAD AUTONOMA DE CHIHUAHUA,CLONACION DE GENES DE SUPEROXIDO DISMUTASA Y ASCORBATO PEROXIDASA EN CLOROPLASTOS DE CELULAS CLOROFILICAS DEL PASTO FORRAJERO BOUTELOUA GRACILIS Y ANALISIS DE LA TOLERANCIA A ESTRES OXIDATIVO.,PUBLICO,534100
"CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE, S.C.",EL CAMBIO CLIMATICO Y EL IMPACTO Y VULNERABILIDAD DE LA PESQUERIA Y LA ACUICULTURA DE CAMARON EN EL LITORAL DE SONORA Y SINALOA.,PUBLICO,740050
UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,EL CAMBIO CLIMATICO Y SU RELACION CON LA SALUD PUBLICA EN MEXICO: DESARROLLO DE UN SISTEMA DE INDICADORES,PUBLICO,629897.6
"CENTRO DE INVESTIGACION Y ASISTENCIA EN TECNOLOGIA Y DISENO DEL ESTADO DE JALISCO, A.C.",INMUNODIAGNOSTICO OPORTUNO DE CANCER DE MAMA: DESARROLLO Y EVALUACION DE UN MINIARREGLO (PROTOTIPO) DE ANTIGENOS ASOCIADOS A TUMOR,PUBLICO,613000
INSTITUTO NACIONAL DE ASTROFISICA OPTICA Y ELECTRONICA,MONITOREO DEL TRAFICO VEHICULAR EN TIEMPO-REAL PARA SEMAFOROS INTELIGENTES BASADO EN MOBILE PHONE SENSING,PUBLICO,424304
INSTITUTO NACIONAL DE SALUD PUBLICA,EXPOSICION A BISFENOL A Y CANCER MAMARIO EN MUJERES MEXICANAS,PUBLICO,547398
UNIVERSIDAD AUTONOMA METROPOLITANA,CAPTURA DEL CO2 GENERADO DURANTE LA MINERALIZACION DEL CARBONO DE LOS RESIDUOS SOLIDOS ORGANICOS EN CONDICIONES AEROBIAS Y DE LA PRODUCCION DE BIOCOMBUSTIBLES,PUBLICO,1594000
UNIVERSIDAD DE SONORA,AISLAMIENTO BIODIRIGIDO DE COMPUESTOS QUIMICOS CON ACTIVIDAD CONTRA MYCOBACTERIUM TUBERCULOSIS H37RV A PARTIR DE PLANTAS ANTITUBERCULOSAS DEL ESTADO DE SONORA,PUBLICO,836624
INSTITUTO NACIONAL DE SALUD PUBLICA,USO DE NANOTECNOLOGIA EN EL TRATAMIENTO DE NEOPLASIAS CERVICALES ASOCIADAS A VPH 16 UTILIZANDO UN MODELO INDUCIDO DE LESION EN CERVIX EN RATONAS BALB/C,PUBLICO,505000
UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,"PLATAFORMA AVANZADA DE COMUNICACIONES PARA REDES DE MINI-UAV APLICADAS A LA PREVENCION, CONTROL Y REACCION RAPIDA EN SITUACIONES DE EMERGENCIA",PUBLICO,677500
"INSTITUTO DE ECOLOGIA, A.C.",BAMBU¨ES NATIVOS PARA LA RESTAURACIO¨N ECOLO¨GICA: UN ENFOQUE GENE¨TICO Y MODELACIO¨N POTENCIAL DEL NICHO,PUBLICO,522000
INSTITUTO NACIONAL DE ASTROFISICA OPTICA Y ELECTRONICA,VIDEO VIGILANCIA AUTOMATICA: HACIA UN SISTEMA GENERICO DE ANALISIS INTELIGENTE DE VIDEOS,PUBLICO,715000
INSTITUTO NACIONAL DE PERINATOLOGIA,IDENTIFICACION MOLECULAR Y TIPIFICACION DE LOS AGENTES ETIOLOGICOS INVOLUCRADOS EN SEPSIS EN LA UNIDAD DE CUIDADOS INTENSIVOS DEL NEONATO DE UN HOSPITAL DE TERCER NIVEL EN MEXICO: ESTANDARIZACION DE UNA PRUEBA DE DIAGNOSTICO RAPIDO.,PUBLICO,435000
UNIVERSIDAD DEL PAPALOAPAN,SISTEMA DE CONSTRUCCION DE VIVIENDA ECOEFICIENTE Y ECONOMICA CON MATERIA PRIMA SUSTENTABLE.,PUBLICO,703000
CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA B.C.,GENERACION DE SENALES MILIMETRICAS PARA APLICACION EN REDES DE SENSORES (CONTINUACION DE 000000000189459),PUBLICO,54000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,EL AGENCIAMIENTO DEL DESARROLLO COMO PROCESO DE INNOVACION SOCIAL EN ATENCION DE LA VULNERABILIDAD TERRITORIAL EN LA REGION SUR SURESTE DE MEXICO.,PUBLICO,403500
INSTITUTO TECNOLOGICO DE SONORA,INYECCION DE ENERGIA SOLAR FOTOVOLTAICA A LA RED ELECTRICA A TRAVES DE UN COMPENSADOR ESTATICO DE VAR¨S CON FUNCIONES AMPLIADAS.,PUBLICO,805000
"CENTRO DE INVESTIGACIONES EN OPTICA, A.C.",DESARROLLO DE NANOPARTICULAS ORGANICAS PARA LA DETECCION Y TRATAMIENTO DE CANCER,PUBLICO,2350000
"CENTRO DE INVESTIGACION EN QUIMICA APLICADA, A.C.",DESARROLLO DE APOSITOS ADHESIVOS CON NANOPARTICULAS METALICAS Y/O OXIDOS METALICOS PARA TRATAMIENTO DE HERIDAS GRAVES,PUBLICO,727274.17
CENTRO DE INVESTIGACION EN MATERIALES AVANZADOS S.C.,DESARROLLO DE OLFATOS ELECTRONICOS PARA LA EVALUACION DE LA DIABETES MELLITUS MEDIANTE EL ALIENTO DEL PACIENTE.,PUBLICO,2449000
CENTRO DE INGENIERIA Y DESARROLLO INDUSTRIAL,"DISENO Y CONSTRUCCION DE UN PROTOTIPO DE ROBOT SUBMARINO (ROV) TRANSPORTADO POR UNA LANCHA INSTRUMENTADA, PARA LA REALIZACION DE INSPECCION Y VIGILANCIA MARINA Y SUBMARINA EN COLABORACION",PUBLICO,591700
UNIVERSIDAD DE GUADALAJARA,"ESTUDIOS SOBRE TRATAMIENTOS DE PAPEL DESPERDICIO DE OFICINA, UTILIZANDO MEDIOS MAGNETICO-MECANICOS Y ULTRASONIDO DE ALTA GANANCIA, PARA LA OBTENCION DE CELULOSA GRADO SOLUBLE CON PROPIEDADES PARA APLICACIONES EN NANOTECNOLOGIA",PUBLICO,805200
UNIVERSIDAD AUTONOMA DE QUERETARO,"DIAGNOSTICO TEMPRANO Y PROSPECCION DE PATOGENOS EMERGENTES DE IMPORTANCIA ZOONOTICA TRANSMITIDOS POR GARRAPATAS,",PUBLICO,600000
UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,"DISENO METODOLOGICO PARA EL ANALISIS DEL IMPACTO DE LA INCIDENCIA DELICTIVA EN EL COMERCIO DE LA MICRO, PEQUENA Y MEDIA EMPRESA EN EL ESTADO DE HIDALGO.",PUBLICO,410000
UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,DESARROLLO DE MICROINVERSORES MODULARES PARA INTEGRACION DE SISTEMAS FOTOVOLTAICOS DE ALTA EFICIENCIA EN SISTEMAS ELECTRICOS,PUBLICO,635000
EL COLEGIO DE LA FRONTERA SUR,"IDENTIFICACION Y ESTUDIO DE SISTEMAS DE PRODUCCION CAMPESINA RESISTENTES AL CAMBIO CLIMATICO EN EL SUR DE MEXICO, Y DISEMINACION DE LOS PRINCIPIOS DE RESILIENCIA ENTRE ORGANIZACIONES CAMPESINAS E INDIGENAS",PUBLICO,515000
UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,DESARROLLO DE UN SOFTWARE EDUCATIVO PARA MEJORAR LA CALIDAD EN LA TOMA DE LAS CITOLOGIAS CERVICALES BASADO EN EL MODELO DE CAPACITACION PARA EL PERSONAL EN FORMACION Y PROVEEDORES DE SERVICIO,PUBLICO,629570.8
COLEGIO DE POSTGRADUADOS,PICUDO DEL CHILE: SU MANEJO CON FEROMONAS Y ATRAYENTES,PUBLICO,644000
UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,"IDENTIFICACION, CUANTIFICACION Y EVALUACION TOXICOLOGICA DE FARMACOS PRESENTES EN EFLUENTES DE AGUAS RESIDUALES DE UNA PLANTA TRATADORA HOSPITALARIA Y EVALUACION DE SU REMOCION",PUBLICO,779000
INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,MODIFICACION ESTRUCTURAL DIRIGIDA DE PROTEINAS VEGETALES PARA MEJORA DE PROPIEDADES FUNCIONALES Y NUTRICIONALES CON APLICACION EN ALIMENTOS,PRIVADO,525130
