NOMBRE DEL SUJETO DE APOYO,NOMBRE DEL PROYECTO,SECTOR,MONTO
LABORATORIO NACIONAL DE INFORMATICA AVANZADA,ESTUDIOS AVANZADOS SOBRE ALGORITMOS METAHEURISTICOS INSPIRADOS EN LA NATURALEZA COMBINADOS CON BUSCADORES LOCALES EN OPTIMIZACION NUMERICA CON RESTRICCIONES.,PRIVADO,121000
UNIVERSIDAD AUTONOMA METROPOLITANA,CONVERSION DE FRECUENCIA EN OXIDOS AMORFOS (VIDRIOS Y PELICULAS) ACTIVADOS CON TIERRAS RARAS.,PUBLICO,97600
INSTITUTO POLITECNICO NACIONAL,DESARROLLO DE MATERIALES PARA TECNOLOGIAS DE ENERGIAS RENOVABLES,PUBLICO,2400000
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,MULTIFERROICOS NANOESTRUCTURADOS,PUBLICO,900000
INSTITUTO POLITECNICO NACIONAL,COMPUTACION Y SISTEMAS,PUBLICO,100000
EL COLEGIO MEXIQUENSE,"ECONOMIA, SOCIEDAD Y TERRITORIO",PUBLICO,100000
EL COLEGIO DE SONORA,"REGION Y SOCIEDAD, REVISTA DEL COLEGIO DE SONORA",PUBLICO,100000
UNIVERSIDAD AUTONOMA DE NUEVO LEON,ENSAYOS REVISTA DE ECONOMIA,PUBLICO,70000
"EL COLEGIO DE MICHOACAN, A.C.","RELACIONES, ESTUDIOS DE HISTORIA Y SOCIEDAD",PUBLICO,100000
BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,TOPICOS DEL SEMINARIO,PUBLICO,50000
UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,REVISTA ELECTRONICA DE INVESTIGACION EDUCATIVA,PUBLICO,100000
"CONSEJO MEXICANO DE INVESTIGACION EDUCATIVA, A.C.",REVISTA MEXICANA DE INVESTIGACION EDUCATIVA,PRIVADO,81200
INSTITUTO TECNOLOGICO DE VERACRUZ,ESTANDARIZACION Y PUESTA EN MARCHA DE PROTOCOLOS DE INVESTIGACION EN BIOPROSPECCION MICROBIANA EN AMBIENTES EXTREMOS,PUBLICO,128800
UNIVERSIDAD AUTONOMA METROPOLITANA,HIDROBIOLOGICA,PUBLICO,82626
"EL COLEGIO DE MEXICO, A.C.",ESTUDIOS DEMOGRAFICOS Y URBANOS,PUBLICO,100000
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,COMMUTATIVE ALGEBRAS GENERATED BY TOEPLITZ OPERATORS - GELFAND THEORY AND SPECTRAL PROPERTIES,PUBLICO,136000
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,TRAFICO VESICULAR Y MOLECULAS DE SENALIZACION QUE CONTROLAN LA SECRECION DE MEDIADORES INFLAMATORIOS EN LAS CELULAS CEBADAS,PUBLICO,563000
"EL COLEGIO DE MEXICO, A.C.",ESTUDIOS ECONOMICOS,PUBLICO,100000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,MECANISMOS MOLECULARES DE LA TERMOSESIBILIDAD EN CANALES TRP,PUBLICO,108000
UNIVERSIDAD DE GUADALAJARA,COMUNICACION Y SOCIEDAD,PUBLICO,73616
UNIVERSIDAD AUTONOMA METROPOLITANA,ALTERIDADES,PUBLICO,100000
SOCIEDAD MATEMATICA MEXICANA,BOLETIN DE LA SOCIEDAD MATEMATICA MEXICANA,PRIVADO,100000
"EL COLEGIO DE MEXICO, A.C.",FORO INTERNACIONAL,PUBLICO,100000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,ESTUDIO DE LOS EFECTOS ESTRUCTURALES Y FUNCIONALES DE COMPLEJOS METALICOS CON PROPIEDADES ANTITUMORALES EN MEMBRANAS CELULARES,PUBLICO,133600
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,"CRITICA, REVISTA HISPANOAMERICANA DE FILOSOFIA",PUBLICO,70000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,?CONTROL AUTOMATICO DE PROCESOS DE PRODUCCION ANAEROBIA DE BIO-HIDROGENO?,PUBLICO,167200
"EL COLEGIO DE MEXICO, A.C.",HISTORIA MEXICANA,PUBLICO,100000
"EL COLEGIO DE MEXICO, A.C.",ESTUDIOS SOCIOLOGICOS,PUBLICO,100000
INSTITUTO DE INVESTIGACIONES DR. JOSE MARIA LUIS MORA,SECUENCIA,PUBLICO,75000
QOS LABS DE MEXICO S.A. DE C.V.,DESARROLLO DE UN FRAMEWORK PARA ACCESO MOVIL A REDES DE CONOCIMIENTO (WEB 3.0),PRIVADO,3458675
"CENTRO DE INVESTIGACION Y ASISTENCIA EN TECNOLOGIA Y DISENO DEL ESTADO DE JALISCO, A.C.",PRODUCCION DE PRINCIPIOS ACTIVOS DE ALTO VALOR AGREGADO A PARTIR DE HONGOS MEDICINALES Y EVALUACION DE SU APLICABILIDAD EN EL SECTOR ALIMENTARIO Y FARMACEUTICO,PUBLICO,2323000
CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS,OLITICA Y GOBIERNO,PUBLICO,100000
UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA,POLITICA Y GOBIERNO,PUBLICO,58000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,REVISTA MEXICANA DE BIODIVERSIDAD,PUBLICO,100000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CUESTIONES CONSTITUCIONALES. REVISTA MEXICANA DE DERECHO CONSTITUCIONAL,PUBLICO,100000
CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS,ECONOMIA MEXICANA NUEVA EPOCA,PUBLICO,100000
UNIVERSIDAD DE GUADALAJARA,APERTURA,PUBLICO,50000
CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS,GESTION Y POLITICA PUBLICA,PUBLICO,100000
UNIVERSIDAD DE GUADALAJARA,DESARROLLO DE TRATAMIENTOS SUPERFICIALES DE ALEACIONES BIOMEDICAS IMPLANTABLES,PUBLICO,2275000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,DESARROLLO DE REDES EN FRECUENCIA UNICA PARA TELEVISION DIGITAL ATSC,PUBLICO,2829823
COLEGIO MEXICANO DE MATEMATICA EDUCATIVA,REVISTA LATINOAMERICANA DE INVESTIGACION EN MATEMATICA EDUCATIVA,PRIVADO,80000
UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,?PROCESO DE ACTIVACION DE LOS RECURSOS LOCALES EN EL DESARROLLO TERRITORIAL DE LAS ZONAS RURALES EN MEXICO: UN ENFOQUE DESDE LOS SISTEMAS AGROALIMENTARIOS LOCALIZADOS Y DE LAS REDES SOCIALES?,PUBLICO,129000
INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,CONTROL TOLERANTE A FALLAS PARA LOS VEHICULOS AUTOMOTRICES INTELIGENTES,PRIVADO,444000
CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA B.C.,GESTION DE LA CONFIDENCIALIDAD DE DATOS EN REDES DE SENSORES A GRAN ESCALA,PUBLICO,28000
UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,DESARROLLO DE ADITIVOS PARA PINTURAS QUE INHIBAN EL CRECIMIENTO MICROBIANO CON NANOPARTICULAS METALICAS Y DE OXIDOS METALICOS BASADOS EN NANOTECNOLOGIA.,PUBLICO,140000
INSTITUTO MEXICANO DEL SEGURO SOCIAL,EVALUACION DE LOS EFECTOS DEL PROPILPARABENO EN EL STATUS EPILEPTICUS Y DANO NEURONAL INDUCIDO POR EL MODELO DE LITIO-PILOCARPINA,PUBLICO,0
ITECH ECOENERGIAS S.A. DE C.V.,PROCESOS ECOLOGICOS PARA RECUBRIMIENTO DE MATERIALES METALICOS,PRIVADO,2292500
TENEDORA NEMAK S.A. DE C.V.,DESARROLLO DE NUEVAS TECNOLOGIAS EN LA FABRICACION DE CAVIDADES ULTRA COMPLEJOS PARA CABEZAS DE MOTOR DE ALTO RENDIMIENTO,PRIVADO,5172283
"TUPY MEXICO SALTILLO, S.A. DE C.V.",DESARROLLO DEL PROCESO TECNOLOGICO DE MANUFACTURA AVANZADA DE UN MONOBLOCK DE HIERRO DE PARED MUY DELGADA,PRIVADO,2498000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,"MARKOVIANIDAD, NO MARKOVIANIDAD Y CAOS EN SISTEMAS CUANTICOS.",PUBLICO,107200
BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,MODELOS MATEMATICOS PARA EL FLUJO DE AGENTES MOVILES CONFINADOS,PUBLICO,115200
UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,?CARACTERIZACION DE GENES INDUCIDOS POR ESPERMINA E IDENTIFICACION DE LIGANDOS DE ESPERMINA SINTASA DE ARABIDOPSIS. SU RELEVANCIA EN ESTRES BIOTICO?,PUBLICO,136000
"EL COLEGIO DE MEXICO, A.C.","INDICADORES DE LAICIDAD EN LAS DEMOCRACIAS CONTEMPORANEAS. FUNDAMENTOS JURIDICOS, POLITICOS Y CULTURALES PARA EVALUAR LA RELACION ESTADO-IGLESIAS. UN ANALISIS COMPARATIVO ENTRE ARGENTINA Y MEXICO.",PUBLICO,140000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,"ANALISIS CUANTITATIVO DE PALEOINDICADORES ACUATICOS (QUIRONOMIDOS, DIATOMEAS Y OSTRACODOS) DE LA PENINSULA DE YUCATAN Y CENTRO DE MEXICO: DESARROLLO DE FUNCIONES DE TRANSFERENCIA PARA LA RECONSTRUCCION DE VARIABLES AMBIENTALES DURANTE EL CUATERNARIO.",PUBLICO,140000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,?¨NUEVOS E INESPERADOS HIBRIDOS COMO RESULTADO DEL CAMBIO CLIMATICO?,PUBLICO,46000
UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,STRUCTURE AND MAGNETISM OF TRANSITION-METAL NANOALLOYS. FROM FIRST PRINCIPLES QUANTUM THEORY TO STATISTICAL GLOBAL OPTIMIZATION STRATEGIES,PUBLICO,204000
INSTITUTO NACIONAL DE SALUD PUBLICA,?GENOMICA FUNCIONAL EN VECTORES DE ENFERMEDADES INFECCIOSAS?,PUBLICO,177600
SISTEMAS Y TELECOMUNICACIONES DIGITALES S.A. DE C.V.,PLATAFORMA CLOUD DE SALUD MULTIDISPOSITIVO,PRIVADO,1265875
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,LA CONSTRUCCION SOCIAL DEL PAISAJE EN PEQUENAS LOCALIDADES RURALES EN BAJA CALIFORNIA (MEXICO) Y LA PATAGONIA ATLANTICA (ARGENTINA).,PUBLICO,54000
ACUACULTURA MAHR S.A. DE C.V.,PROGRAMA DE INNOVACION TECNOLOGICA MEXICO-FRANCIA PARA EL MEJORAMIENTO GENETICO DEL CAMARON DE CULTIVO LITOPENAEUS VANNAMEI LIBRE DE PATOGENOS ESPECIFICOS,PRIVADO,5045670
"TC TECHNOLOGIES, S.A. DE C.V.",PLATAFORMA AUTOMOTRIZ PARA VEHICULO ELECTRICO URBANO ENERGETICAMENTE EFICIENTE,PRIVADO,10721663
"DESARROLLO, INTEGRACION Y ESTRATEGIAS EN SOFTWARE, S.A. DE C.V.","CONVOCATORIA CONJUNTA CDTI-CONACYT 2012, UTILIDADES AVANZADAS Y PROCESOS DE SISTEMAS DE INFORMACION TERRITORIAL",PRIVADO,1971172
MUUK TECHNOLOGIES S. DE R.L. DE C.V.,GLOBAL COMMUNICATION TOOL,PRIVADO,1689576
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,"DESIGUALDAD SOCIAL, PATRONES DE ALIMENTACION, OBESIDAD Y DIABETES: ANALISIS COMPARATIVO DE INDICADORES SOCIODEMOGRAFICOS ENTRE ARGENTINA Y MEXICO",PUBLICO,53600
NEMAK S.A. DE C.V.,NUEVOS DESARROLLOS TECNOLOGICOS DE MEJORA ENERGETICA EN HORNOS MANTENEDORES DE ALUMINIO LIQUIDO EN LA FUNDICION,PRIVADO,2950789
QOS LABS DE MEXICO S.A. DE C.V.,DESARROLLO DE APLICACIONES MOVILES DE REALIDAD AUMENTADA Y SU INTERACCION CON REDES DE CONOCIMIENTO,PRIVADO,3337745
"ACCIONA INFRAESTRUCTURAS MEXICO, S.A. DE C.V.",DESARROLLO Y APLICACION DE NUEVAS TECNOLOGIAS PARA LA ESTABILIZACION SUPERFICIAL DE TALUDES,PRIVADO,684950
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,EL DESARROLLO PORTUARIO (SIGLOS XVI-XXI) DE LA BAHIA DE VERACRUZ (GOLFO DE MEXICO) : IMPACTO AMBIENTAL Y PATRIMONIAL. (RENOVACION),PUBLICO,204000
INSTITUTO MEXICANO DEL SEGURO SOCIAL,EVALUACION DE ANALOGOS DEL ACIDO SIALICO COMO INHIBIDORES DE LA REPLICACION DEL VIRUS DE LA INFLUENZA,PUBLICO,0
"COMERCIAL MEXICANA DE PINTURAS, S.A. DE C.V.",DESARROLLO DE PLATAFORMA TECNOLOGICA PARA EL DISENO DE RECUBRIMIENTOS ARQUITECTONICOS MEDIANTE LA INCORPORACION DE PARTICULAS DE SILICE Y OTRAS PARTICULAS ESPECIALES,PRIVADO,1820498.14
INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,LOW ENERGY REACTIONS WITH EXOTIC NUCLEI,PUBLICO,227200
INSTITUTO MEXICANO DEL SEGURO SOCIAL,EVALUACION DE LA PARTICIPACION DE LA IL-1ALFA Y EL TNF-ALFA EN LA PERMEABILIDAD DE LA BARRERA HEMATOENCEFALICA DURANTE EL DESARROLLO DE LA EPILEPSIA EXPERIMENTAL INDUCIDA POR EL ACIDO KAINICO EN RATAS,PUBLICO,0
UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,?SISTEMAS HIBRIDOS-NANOESTRUCTURADOS DE SILICIO POROSO PARA EL DESARROLLO DE SISTEMAS DE DETECCION BIOLOGICOS?,PUBLICO,224000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,FLUID STRUCTURE UNDER SHEAR STRESS.,PUBLICO,169600
CENTRO DE INVESTIGACION Y DOCENCIA ECONOMICAS,INVESTIGACION APLICADA PARA EL DISENO E INSTRUMENTACION DE UN EJERCICIO PILOTO PARA UN PROGRAMA DE DETECCION Y APOYO PARA JOVENES CON TALENTO EXCEPCIONAL EN MATEMATICAS,PUBLICO,287916
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,"EVALUACION DE LOS FENOMENOS DE HIPOXIA Y RESUSPENSION DE SEDIMENTOS, Y SUS EFECTOS POTENCIALES SOBRE LOS ORGANISMOS MARINOS.",PUBLICO,150000
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,RECICLAJE DE RESIDUOS ELECTRONICOS PARA LA PRODUCCION DE COMBUSTIBLES ECOLOGICOS Y LA RECUPERACION DE METALES,PUBLICO,52400
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,ENFOQUES COMPARATIVOS SOBRE LA MOVILIDAD INDIGENA Y EL GENERO: CONSOLIDACION DE UNA RED.,PUBLICO,100000
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.,GENERACION AUTOMATICA DE MOVIMIENTOS COOPERATIVOS ENTRE HUMANOS Y ROBOTS HUMANOIDES,PUBLICO,126000
