NOMBRE DEL SUJETO DE APOYO,NOMBRE DEL PROYECTO,SECTOR ,MONTO
INDUSTRIAS BIOQUIM SA DE CV,INVESTIGACION Y DESARROLLO TECNOLOGICO DE 5 NUEVOS PRODUCTOS PARA LIMPIEZA EN BIOQUIM.,QUIMICA,1371550
SERVICIOS PROFESIONALES DE SOFTWARE ODACC S DE RL DE CV,"UBICATEK: SISTEMA DE RECOMENDACION HIBRIDO, UTILIZANDO ALGORITMOS DE LOGICA DIFUSA",TECNOLOGIAS DE LA INFORMACION,2747640
SKYWORKS SOLUTIONS DE MEXICO S DE RL DE CV,INVESTIGACION Y DESARROLLO DEL PROCESO DE MONTADO QUE PERMITA LA INTERCONEXION DE MICROCIRCUITOS AMPLIFICADORES EN ARSENIURO DE GALIO Y SILICIO PARA TELEFONOS INTELIGENTES Y TABLETAS ELECTRONICAS.,ELECTRONICA,7714049
SIMPLE COMPLEXITY SA DE CV,"PROYECTO PARA LA ADQUISICION, FORMACION Y TRANSFERENCIA DE CAPACIDADES TECNOLOGICAS PARA EL DESARROLLO DE LA INDUSTRIA NATIVA DE DISENO Y CONSTRUCCION DE SATELITES EN MEXICO. (MEXATELITES)",AEROESPACIAL,1783690
SBL PHARMACEUTICALS S DE RL DE CV,DESARROLLO DE UN PRODUCTO AUXILIAR EN EL TRATAMIENTO DEL DOLOR NEUROPATICO,FARMACEUTICA,1190022
ENERGIAS ALTERNAS SA DE CV,DISENO Y DESARROLLO TECNOLOGICO DE  3 INNOVADORES PRODUCTOS Y SUS PROTOTIPOS EN ENERGIAS ALTERNAS,ENERGIA,2879150
FURUKAWA MEXICO SA DE CV,DISENO Y DESARROLLO TECNOLOGICO DE LINEA PROTOTIPO PARA ENSAMBLE DE CONECTOR DE BOLSA DE AIRE ULTRALIGERO,AUTOMOTRIZ,4147100
HONEYWELL AEROSPACE DE MEXICO S DE RL DE CV,DESARROLLO TECNOLOGICO DE CELDAS DE PRUEBAS INNOVADORAS DE GENERADORES AEROESPACIALES,AEROESPACIAL,3894155
SUKRASOFT S DE RL DE CV,"EDNINJA, APLICACIONES EDUCATIVAS MOVILES PARA EDUCACION ESPECIAL (ETAPA 2)",TECNOLOGIAS DE LA INFORMACION,1476800
ESYSTEMS DE MEXICO S RL DE CV,"EXPANSION  DEL PROYECTO CLAVE 198503, VDOCUMENT-PAPERLESS PARA APLICACIONES EN LA NUEVA PLATAFORMA PARA DISPOSITIVOS MOVILES",TECNOLOGIAS DE LA INFORMACION,2201000
ARGUS TECNOLOGIAS SA DE CV,CONTINUACION 179106 INTEGRACION TECNOLOGICA DE UN SISTEMA DE REDES DE TELECOMUNICACION DE ALCANCES MULTIPLES PARA EL DESARROLLO DE UNA INFRAESTRUCTURA INTEGRAL DE APLICACIONES  DE TELEMETRIA M2M ALINEADO CON DEL INTERNET DE LAS COSAS,TECNOLOGIAS DE LA INFORMACION,1366500
ARGUS TECNOLOGIAS SA DE CV,CONTINUACION DE PROYECTO 154718: DESARROLLO DE LA PLATAFORMA INFORMATICA DE SOPORTE PARA LA GESTION Y ADMINISTRACION DE LAS UNIDADES DE NEGOCIO QUE OFRECEN NUESTRAS SOLUCIONES DE TELEMATICA.,TECNOLOGIAS DE LA INFORMACION,922400
MAX PC DE MEXICO SA DE CV,DESARROLLO DE UN SOFTWARE DE GESTION PARA LA AUTOMATIZACION DE PROCESOS DEL MANEJO DE VINEDOS,TECNOLOGIAS DE LA INFORMACION,2046086
PRODUCTOS UROLOGOS DE MEXICO SA DE CV,DISENO Y DESARROLLO TECNOLOGICO DE PROTOTIPO PARA ENSAMBLE AUTOMATIZADO DE CATETER DE SUCCION,SALUD,3245200
I-XPORT SA DE CV,DISENO Y DESARROLLO TECNOLOGICO DE SOFTWARE I-XPORT WEBB,TECNOLOGIAS DE LA INFORMACION,945600
CEMENTOS QUIMICOS INDUSTRIALES SA DE CV,DISENO Y DESARROLLO TECNOLOGICO DE AGLUTINANTE A BASE DE COPOLIMEROS VINILICOS PARA  ESTABILIZACION DE SUELOS.,QUIMICA,2179100
SPERANTUS SA DE CV,PLATAFORMA HIPERESPECTRAL PARA IMPULSAR LA VITICULTURA DE PRECISION EN EL VALLE DE GUADALUPE,AGROINDUSTRIAL,9500000
GENETICA LABORATORIOS SA DE CV,DESARROLLO DEL MEDICAMENTO GENERICO FLOROGLUCINOL/TRIMETILFLOROGLUCINOL CAPSULAS,QUIMICA,1368264
GENETICA LABORATORIOS SA DE CV,DESARROLLO DEL MEDICAMENTO GENERICO TERBINAFINA SOLUCION,QUIMICA,1223677
ACERTA CONSULTORES SA DE CV,CREACION DE UN MODELO  SUSTENTABLE  Y ECO-INNOVADOR PARA LA TRANSFORMACION DE  ORGANISMOS OPERADORES DE AGUA Y SANEAMIENTO DE MEXICO,TECNOLOGIAS DE LA INFORMACION,3305580
LEDSS SA DE CV,PANEL SOLAR FOTO VOLTACO-TERMICO-CONDENSADOR,ENERGIA,724357
AVANTTI MEDI CLEAR MBP SAPI DE CV,SOFTWARE PARA SISTEMA DE CONTROL SUPERVISORIO Y ADQUISICION DE DATOS PARA EL PROCESO DE ESTERILIZACION DE DISPOSITIVOS MEDICOS POR MEDIO DE ACELERADOR DE ELECTRONES.,MECATRONICA,1468780
PLAMEX SA DE CV,AURICULAR WI-FI CON SENSORES DE PRESENCIA Y BOCINAS MULTIPLES,TELECOMUNICACIONES,4419552
ELEVADORES EV INTERNACIONAL SA DE CV,CONTINUACION DEL PROYECTO 180060. ELEVADOR SIN CUARTO DE MAQUINAS AUTO-SOSTENIBLE CON COMPONENTES Y MATERIALES ALTERNOS.,METALMECANICA,1566000
LEDSS SA DE CV,"PLAN TLALOC 2014 VALIDACION, DESARROLLO Y ESCALAMIENTO A PLANTA PILOTO DE LOS PAQUETES TECNOLOGICOS DE LA HIDRO SUSTENTABILIDAD PARA LAS ZONAS ARIDAS COSTERAS DEL NOROESTE DE MEXICO. VIVIENDA Y PRODUCCION ALIMENTICIA CARBONO, DINAMICO E HIDRO SUSTENTABLE",MAQUINARIA INDUSTRIAL,3600000
SOLID PRECISION ENGINEERING AND INNOVATION SA DE CV,INNOVACION Y DESARROLLO DE PROTOTIPOS OPTICOS DE ANGULO Y ORIENTACION VARIABLE CON TECNOLOGIA LED PARA SISTEMAS DE ILUMINACION EN ALUMBRADO PUBLICO.,ELECTRONICA,8739939
SKYWORKS SOLUTIONS DE MEXICO S DE RL DE CV,DISENO Y DESARROLLO DE PROTOTIPO FUNCIONAL QUE INTEGRE UNA PROTECCION COMPLETA CONTRA SENALES DE RADIO FRECUENCIA PARA TELEFONOS INTELIGENTES Y TABLETAS ELECTRONICAS,ELECTRONICA,10895838
PRODUCTOS Y ENVASADOS QUIMICOS SA DE CV,DISENO Y DESARROLLO TECNOLOGICO DE INNOVADOR PROCESO Y PROTOTIPO AUTOMATIZADO PARA  PURIFICACION DE AGUA,ALIMENTOS,1766400
LABORATORIOS BAJA MED SA DE CV,DESARROLLO DE MEDICAMENTOS GENERICOS MONTELUKAST,FARMACEUTICA,565679
LABORATORIOS BAJA MED SA DE CV,DESARROLLO DE MEDICAMENTOS GENERICOS ATORVASTATINA,FARMACEUTICA,735470
UBILOGIX  S DE RL DE CV,SERVICIO INTELIGENTE DE EXPLOTACION DE LOGICA APLICATIVA PARA LA INTERNET DE LAS COSAS,TECNOLOGIAS DE LA INFORMACION,975000
DESARROLLO CORPORATIVO PENINSULAR SA DE CV,DESARROLLO TECNOLOGICO EN LA FABRICACION DE PANELES INNOVADORES PARA LA CONSTRUCCION DE CASAS TERMO-ECOLOGICAS TILT-UP,CONSTRUCCION,6497137
