NOMBRE DEL SUJETO DE APOYO,NOMBRE DEL PROYECTO,SECTOR ,MONTO
AGROMOD SA DE CV,I+D DE HIBRIDOS DE PAPAYA (CARICA PAPAYA L) Y SU MICRO-PROPAGACION VEGETATIVA MEDIANTE  EMBRIOGENESIS SOMATICA Y GENOMICA ESTRUCTURAL PARA OBTENCION DE CLONES HERMAFRODITAS LIBRES DE PATOGENOS,AGROINDUSTRIAL,6518807
ROTOINNOVACION SA DE CV,DESARROLLO DE CONTENEDOR AGROINDUSTRIAL NANOESTRUCTURADO RESPUESTA RAPIDA AL CALOR Y UTILIZANDO ENERGIA RENOVABLE ALTERNATIVA,PLASTICOS,10125500
MACADAMIA INDUSTRIAS DE OCOSINGO SPRDE RL,EXTRACTO FLUIDO DE HOJA DE MACADAMIA PARA REACTIVAR LA MICROCIRCULACION EN VARICES,AGROINDUSTRIAL,3857300
CONSULTORES ASOCIADOS EN PRODUCCION PECUARIA SA DE CV SOFOM ENR,"DESARROLLO DE UN MODELO DE TRANSFERENCIA DE TECNOLOGIA APLICADA A RANCHOS DE PRODUCTORES GANADEROS, EFICIENTIZANDO RECURSOS NATURALES, ECONOMICOS, TECNICOS, Y HUMANOS EN LA PRODUCCION SUSTENTABLE DE CARNE-LECHE EN CHIAPAS.",TECNOLOGIAS DE LA INFORMACION,2171768
PLANEACION CONSTRUCCION E INGENIERIA MICELI CABRERA Y ASOCIADOS SA DE CV,DESARROLLO DE CONCRETO SECO A PARTIR DE ADITIVOS ORGANICOS Y MATERIALES RECICLADOS A ESCALA PILOTO,CONSTRUCCION,2554000
APPLIED BIOTECHNOLOGY SOUTH AMERICA SA DE CV,DISENO Y CARACTERIZACION DE BIOMATERIALES A PARTIR DE MACROMICETOS COMO ALTERNATIVA  AL USO DEL UNICEL,AGROINDUSTRIAL,1742800
GRUPO AVIMARCA SA DE CV,"INNOVACION DEL PROCESO DE LAVADO EN EL EVISCERADO DE AVES, POR SATURACION DE OZONO",AGROINDUSTRIAL,8029825
TIERRA FORTIFICADA SA DE CV,DESARROLLO DE UN NUEVO MATERIAL SISTEMICO PARA ESTRUCTURAS DE PAVIMENTO DE PROPIEDADES FISICO-MECANICAS SUPERIORES A LOS MATERIALES CONVENCIONALES,QUIMICA,5277510
NUTEC FIBRATEC SA DE CV,FIBRAS AISLANTES NO BIOPERSISTENTES CON TERMOESTABILIDAD HASTA 1400øC (SEGUNDA ETAPA) Y FORTALECIMIENTO DE PLATAFORMA PILOTO EXPERIMENTAL,QUIMICA,7889036
TUXOR SA DE CV,OPTIMIZACION DE UNA ESTACION PILOTO DE TRATAMIENTO TERMICO DE COMPONENTES DE GRANDES DIMENSIONES PARA LA MEJORA DE PROPIEDADES MECANICAS,METALURGIA,4989150
TECNOSURF SA DE CV,DISENO E INTEGRACION DE UN SISTEMA DE SOLDADURA AUTOMATIZADO PARA LA OPTIMIZACION DE PROPIEDADES TRIBOLOGICAS Y CARACTERISTICAS METALURGICAS DE ACEROS DE ALTA Y BAJA ALEACION,METALMECANICA,4735400
MECHANISMS DE SALTILLO SA DE CV,CENTRO DE DISENO Y DESARROLLO DE PROTOTIPOS PARA SU USO EN LA INDUSTRIA AUTOMOTRIZ. PARTE II,AUTOMOTRIZ,4605297
TECNOTIFERET SA DE CV,DESARROLLO DE PLANTA MOVIL PARA RECICLAJE DE COMPONENTES ELECTRONICOS Y CARACTERIZACION DE ENTRADAS Y SALIDAS TENDIENTES A LA OBTENCION DE MATERIAL AVANZADO DE ALTO VALOR COMERCIAL. (MORE),PLASTICOS,9516231
INNOVACION TECNOLOGICA EN SOLDADURA Y SUPERFICIES SA DE CV,DISENO Y DESARROLLO DE TECNOLOGIA DE UNION DUAL GTAW HW/CW PARA APLICACION DE REVESTIMIENTOS DE INCONEL 625 SOBRE ACEROS DE BAJA ALEACION.,AUTOMOTRIZ,4710460
INGENIERIA Y PROTOTIPOS INDUSTRIALES SA DE CV,DESARROLLO TECNOLOGICO E INTEGRACION DE UN SISTEMA DE PROYECCION TERMICA DE ALTA VELOCIDAD PARA LA OBTENCION DE RECUBRIMIENTOS NANOESTRUCTURADOS DE ALTA RESISTENCIA AL DESGASTE.,METALMECANICA,4949785
TECNOSURF SA DE CV,DESARROLLO DE PLANTA PILOTO PARA LA OBTENCION DE METALES DE APORTE EN POLVO PARA SOLDADURA EMPLEADOS EN APLICACIONES DE RESISTENCIA A LA CORROSION Y DESGASTE.,METALURGIA,3998780
ECOTOTAL SA DE CV,DISENO DE SISTEMAS MOVILES PARA REMOCION DE CONTAMINANTES LIQUIDOS EN PROCESOS DEL SECTOR AUTOMOTRIZ.,AUTOMOTRIZ,3340000
COMERCIALIZADORA DE CERAMICA MUGARTECH SA DE CV,DESARROLLO DE FORMULACIONES CERAMICAS PARA SU APLICACION MEDIANTE TECNOLOGIA SOL-GEL EN RECUBRIMIENTOS SUPERFICIALES PARA MEJORAR LAS PROPIEDADES TRIBOLOGICAS DE COMPONENTES DE MAQUINARIA DE LA INDUSTRIA MINERA.,QUIMICA,4671228
INDUSTRIAS BELG-W SA DE CV,DESARROLLO DE VALVULAS AUTOMATICAS DE CONTROL CON CUERPO EN Y USANDO HIERRO NODULAR EN SUSTITUCION DE HIERRO GRIS,METALURGIA,2945831
MANUFACTURAS ZAPALINAME SA DE CV,DESARROLLO TECNOLOGICO PARA LA MANUFACTURA DE INTERCAMBIADORES DE CALOR CON OPTIMO ENFRIAMIENTO EN EL MANEJO DE FLUIDOS DEL SECTOR AUTOMOTRIZ,METALMECANICA,4590660
BIOFERTILIZANTES MEXICANOS SA DE CV,DESARROLLO DE BIOCONSORCIOS LIQUIDOS Y MICROENCAPSULADOS SUSTITUTOS DE AGROQUIMICOS PARA INCREMENTAR LA PRODUCTIVIDAD Y RENTABILIDAD DE CULTIVOS AGRICOLAS,AGROINDUSTRIAL,2355000
ADVOC SA DE CV,APROVECHAMIENTO DE DERIVADOS DE LA BIOMASA PARA LA FABRICACION DE RECUBRIMIENTOS BIODEGRADABLES UTILIZABLES EN EL AHORRO  DE AGUA Y PROTECCION DE CULTIVOS AGRICOLAS,QUIMICA,4979880
KINOVATEC SA DE CV,OPTIMIZACION DE PLANTA PILOTO DE TRANSESTERIFICACION DE ACEITES VEGETALES UTILIZANDO CATALIZADORES HETEROGENEOS Y DESARROLLO DE APLICACION DEL SUBPRODUCTO DE LA REACCION COMO SUPRESOR DE POLVO AMBIENTAL EN LA INDUSTRIA MINERA Y ZONAS ARIDAS.,MINERIA,4976400
RASSINI SA DE CV,DISENO Y DESARROLLO DE CELDA PROTOTIPO DE TRATAMIENTO TERMICO DE AUSTEMPERING PARA MUELLES AUTOMOTRICES,AUTOMOTRIZ,6551812
RASSINI SA DE CV,DESARROLLO TECNOLOGICO PARA EL AHORRO ENERGETICO EN CELDAS DE TRATAMIENTO TERMICO DE HOJAS PARA MUELLES AUTOMOTRICES,AUTOMOTRIZ,3196252
ALEACIONES Y METALES INDUSTRIALES DE SALTILLO SA DE CV,DESARROLLO DEL PROCESO DE FUSION Y AJUSTE DE ALEACIONES ALUMINIO-LITIO PARA LA FABRICACION DE COMPONENTES ESTRUCTURALES DEL SECTOR AERONAUTICO.,SIDERURGIA,4403745
SERVICIOS INDUSTRIALES TECNICOS DEL NORESTE SA DE CV,"INNOVACIONES TECNOLOGICAS PARA OPTIMIZAR PROCESOS DE REHABILITACION DE COMPONENTES DE TURBINAS 
GENERADORAS DE ENERGIA",ENERGIA,4073169
NUCLEO EMPRESARIAL TECNOLOGICO SA DE CV,"DESARROLLO DE LA TECNOLOGIA PARA LA MANUFACTURA DE VALVULAS TIPO MARIPOSA VACIADAS EN ACERO, CON REVESTIMIENTO DE PERFLUOROALCOXI (PFA)",METALMECANICA,5020000
PLASTICOS E INYECTORES DE SALTILLO SA DE CV,DESARROLLO DE NUEVA ESPUMA TERMOPLASTICA BIODEGRADABLE CON DIFERENTES GRADOS DE DUREZA Y DENSIDAD PARA SU APLICACION EN LA INDUSTRIA AUTOMOTRIZ,PLASTICOS,1100489
SERVICIOS ADMINISTRATIVOS PENOLES SA DE CV,CREACION DE UN PROCESO Y PROTOTIPO PARA PURIFICACION ELECTROLITICA EN RECUPERACION DE ZINC,METALURGIA,1895380
ALACER TECNOLOGIAS DE LA INFORMACION SA DE CV,PLATAFORMA DE MODELADO POR DEPOSICION FUNDIDA PARA CREACION DE PROTOTIPOS A PEQUENA ESCALA DE OBJETOS TRIDIMENSIONALES.,TECNOLOGIAS DE LA INFORMACION,2293512
SUMINISTROS TERMO-ELECTROMECANICOS SA DE CV,INTEGRACION TECNOLOGICA DE UNA PLANTA PILOTO DE TRITURACION DE NEUMATICOS A SISTEMA PORTATIL PARA APLICACION DE ASFALTOS ECOLOGICOS.,MINERIA,13992036
CIFUNSA DEL BAJIO SA DE CV,INNOVACION TECNOLOGICA EN EL SISTEMA DE VACIADO PARA PIEZAS DE SEGURIDAD EN HIERRO NODULAR,METALURGIA,4264350
SERVICIOS Y SUMINISTROS EN INFORMATICA SA DE CV,"""TECNOLOGIA PARA EL ANALISIS DE AGUA EN EXPLORACION Y PRODUCCION DE YACIMIENTOS NO-CONVENCIONALES.""",TECNOLOGIAS DE LA INFORMACION,4576740
ALCAST SA DE CV,OPTIMIZACION TECNOLOGICA DE UN SISTEMA DE ALTA EFICIENCIA ENERGETICA TIPO BASCULANTE PARA APLICACION EN PROCESOS DE INYECCION DE ALEACIONES BASE ALUMINIO 7075 PARA LA FABRICACION DE ESTRUCTURAS ULTRALIGERAS UTILIZADAS EN EL SECTOR AEROESPACIAL.,AEROESPACIAL,3991546
FUNDICION DE ALEACIONES ESPECIALES DE MEXICO SA DE CV,CONSOLIDACION DE CAPACIDADES TECNOLOGICAS PARA LA MANUFACTURA DE VALVULAS TIPO COMPUERTA EN ACERO INOXIDABLE 316L (CF-3M),METALURGIA,5232700
MANUFACTURERA DE CIGUENALES DE MEXICO SA DE CV,IMPLETACION DE PLANTA PILOTO PARA EL DESARROLLO DE NUEVOS PRODUCTOS DE ACERO CON  ALTA RESISTENCIA MECANICA PARA LA MANUFACTURA DE CIGUENALES,AUTOMOTRIZ,2959421
APLICACION Y ADECUACION DE TECNOLOGIA SA DE CV,DESARROLLO DE LA TECNOLOGIA  PARA LA MANUFACTURA DE AISLANTES  MICROPOROSOS A BASE DE COMPUESTOS DE SILICATO DE CALCIO.,QUIMICA,4155340
FUNDICION DE ALEACIONES ESPECIALES DE MEXICO SA DE CV,DESARROLLO DE LA TECNOLOGIA DE REFINAMIENTO DE GRANO SUPERFICIAL  DE  ALEACIONES  BASE NIQUEL Y BASE COBALTO POR INOCULACION  CON ALUMINATO DE COBALTO.,METALURGIA,4402200
TRITURADOS GRAMOL SA .DE CV,DESARROLLO TECNOLOGICO DE UNA PLANTA PILOTO DE AGREGADOS PETREOS PARA LA OBTENCION DE CONCRETOS DE ALTA RESISTENCIA Y AISLABILIDAD TERMICA,MINERIA,14364356
ALUMINIO Y BRONCES DE SALTILLO SA DE CV,NUEVO PROCESO PARA PIEZAS COMPLEJAS DE AL356 CON ALTAS PROPIEDADES MECANICAS PARA LA INDUSTRIA ELECTRICA: PARTE 2,METALURGIA,2360000
NARTEX LABORATORIOS HOMEOPATICOS SA DE CV,VALIDACION Y MEJORA DE UN PROCESO PARA LA ELABORACION DE UNA BEBIDA HOMEOPATICA SABORIZADA ESTABLE A CONDICIONES DE TEMPERATURA AMBIENTE Y DE REFRIGERACION.,FARMACEUTICA,1963901
EQUIPOS DE ACUNA SA DE CV,DESARROLLO TECNOLOGICO MEDIANTE MANUFACTURA FLEXIBLE EN LA FABRICACION DE CABINAS Y ENSAMBLE  EN CAMIONES DE MINERIA.,MAQUINARIA INDUSTRIAL,3101777
INTERNATIONAL STAPLE MACHINE SA DE CV,DESARROLLO DE UNA MAQUINA PARA LA PRODUCCION DE GRAPAS  PARA COSTURAS DE CAJAS DE CARTON,MAQUINARIA INDUSTRIAL,3506000
NANOINGREDIENTES BIOACTIVOS SA DE CV,"DESARROLLO DE  UN NUEVO PROCESO PARA LA FORMACION DE NANOPARTICULAS  A BASE DE FUENTES  NATURALES CARGADAS CON CO10,  PARA EL  MEJORAMIENTO DE SU BIODISPONIBILIDAD ORAL.",ALIMENTOS,1895000
DESARROLLOS Y PROYECTOS TECNOLOGICOS DE SALTILLO SA DE CV,"DISENO Y DESARROLLO DE PLANTA EXPERIMENTAL PARA OPTIMIZAR LOS FENOMENOS DE SEDIMENTACION, FLOCULACION, COAGULACION Y FILTRACION EN EL TRATAMIENTO DEL AGUA RESIDUAL Y SUS CONTAMINANTES",AUTOMOTRIZ,4429245
SUPER HIGH INGENIEROS SA DE CV,DISENO Y DESARROLLO DE UNA CELDA EXPERIMENTAL DE ELECTROCONFORMADO PARA LA FABRICACION RAPIDA DE HERRAMIENTAS E INSERTOS PARA MOLDES DE INYECCION DE TERMOPLASTICOS,AUTOMOTRIZ,4911600
MATIK INGENIERIA SA DE CV,DISENO Y DESARROLLO DE CELDA FLEXIBLE PARA LA APLICACION DE RECUBRIMIENTOS POR SOLDADURA MEDIANTE PROCESOS NO CONVENCIONALES (LASER DIODOS) USADOS EN LA REPARACION DE HERRAMENTALES DE TRABAJO EN CALIENTE,METALURGIA,4903950
DESARROLLOS AMADEL SA DE CV,DISENO Y DESARROLLO DE UNA CELDA PILOTO PARA LA RESTAURACION DE COMPONENTES ESTRUCTURALES AHSS USADOS EN LA FABRICACION DE VEHICULOS LIGEROS,AUTOMOTRIZ,4711200
EQUIPOS DE ACUNA SA DE CV,DESARROLLO TECNOLOGICO DE UNA CELDA PROTOTIPO PARA EL TRATAMIENTO Y APLICACION DE PROTECCION ANTICORROSIVA DE DOS COMPONENTES EPOXICO/POLIURETANO EN CAMIONES DE MINERIA.,MAQUINARIA INDUSTRIAL,2119014
TECNOLOGIAS MANUFACTURERAS DEL NORTE S DE RL DE CV,IMPLEMENTACION DEL LABORATORIO PARA PRUEBA DE PROTOTIPOS DE CENTRO DE DISENO DE LA EMPRESA TECNOLOGIAS MANUFACTURERAS DEL NORTE S DE RL. DE C.V.,TEXTIL,4020850
FORMEX MEXICO SA DE CV,DESARROLLO DE PROTOTIPO PILOTO DE HERRAMENTAL ESBELTO PARA ELABORACION DE COMPONENTES AUTOMOTRICES. PARTE WIRELESS,MAQUINARIA INDUSTRIAL,2065400
SISTEMAS Y TELECOMUNICACIONES DIGITALES SA DE CV,PLATAFORMA INALAMBRICA PARA IMPULSAR LA COMPETITIVIDAD EN ZONAS URBANAS Y RURALES,TECNOLOGIAS DE LA INFORMACION,3805500
SISTEMAS Y TELECOMUNICACIONES DIGITALES SA DE CV,PLATAFORMA INALAMBRICA PARA ALERTAR A LOS CONDUCTORES DE EMERGENCIAS VEHICULARES.,TECNOLOGIAS DE LA INFORMACION,3740402
SISTEMAS Y TELECOMUNICACIONES DIGITALES SA DE CV,DISENO E IMPLEMENTACION DE UNA PLATAFORMA INALAMBRICA METROPOLITANA PARA EL MONITOREO DEL TRAFICO VEHICULAR Y SUSTANCIAS CONTAMINANTES EN EL MEDIO AMBIENTE (TRAVEYSUCO).,TECNOLOGIAS DE LA INFORMACION,893750
ARTE DECO MANOFACTURAS SA DE CV,PROYECTO INTEGRAL DE VEHICULOS ELECTRICOS UTILITARIOS URBANOS Y SUBURBANOS,AUTOMOTRIZ,1181137
CONSTRUCTORA INTEGRAL DE COLIMA SA DE CV,PLATAFORMA DOMOTICA PARA EFICIENCIA ENERGETICA,TECNOLOGIAS DE LA INFORMACION,2817227
SBC TECNOLOGIAS SA DE CV,CLOUD SBC MOVIL. DISENO E IMPLEMENTACION DE UNA NUBE COMPUTACIONAL HIBRIDA PARA PYMES QUE PERMITA HACER NEGOCIOS MEDIANTE CLOUD COMPUTING.,TECNOLOGIAS DE LA INFORMACION,635480
TURISMO EXTREMO VOLCAN DE COLIMA SPR DE RL,DESARROLLO PILOTO DEL PROCESO DE MANUFACTURA DEL SISTEMA HIDRODINAMICO DE ENFRIAMIENTO DE TECHOS CON RECUPERACION DE ENERGIA (SHETRE) DE MENOR ENTROPIA Y CUYO PRODUCTO SEA EL DE MENORES EMISIONES DE CO2 DURANTE EL PERIODO DE SU CICLO DE VIDA,ENERGIA,2152650
MALDONADO SOFTWARE SA DE CV,ECOSISTEMA DE PRUEBA DEL PROTOTIPO SALDOCEL  (MODULO AUTOMATICO PARA VENTA DE TIEMPO AIRE MULTIMARCAS),TECNOLOGIAS DE LA INFORMACION,2794829
COLIMA COMMERCE GROUP SA DE CV,PERFECCIONAMIENTO Y PRACTICAS DE UN PROTOTIPO DE UN EQUIPO DE ENVASADO Y SELLADO VERTICAL  AUTOMATICO DE SOBRES PORCIONADOS DE 1 GRAMO DE SAL Y FLOR DE SAL.,MAQUINARIA INDUSTRIAL,1743625
INFORMATICA HAGAG SA DE CV,"HERRAMIENTA PERSONAL WEB PARA CREAR APLICACIONES EN LA NUBE, SEGURAS Y DE ALTA CALIDAD.(CONTINUIDAD AL PROYECTO #197118 AUTORIZADO EN LA CONVOCATORIA 2013).",TECNOLOGIAS DE LA INFORMACION,5235400
ECLECTIC SYSTEMS SA DE CV,DESARROLLO Y ESCALAMIENTO DE PLATAFORMA PARA LA PLANEACION Y GESTION COMPLEJA HOSPITALARIA BASADA EN MODELOS MULTI-AGENTE (HOSPISIM),TECNOLOGIAS DE LA INFORMACION,3999470
PUNTO PEN SA DE CV,"INNOVACION, DESARROLLO E INTEGRACION DE TRES MODULOS DE PREVENCION EN LA PLATAFORMA DE TECNOLOGIA DE INFORMACION DEL MODELO DE SALUD PARA LA ATENCION DE LA OBESIDAD, DIABETES E HIPERTENSION ARTERIAL.",TECNOLOGIAS DE LA INFORMACION,5460250
FARMACEUTICA HISPANOAMERICANA SA DE CV,DESARROLLO TECNOLOGICO DE UN MEDICAMENTO INHALADO PARA EL TRATAMIENTO DEL ASMA Y LA ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA,FARMACEUTICA,1678307
VITALMEX INTERNACIONAL SA DE CV,VENTRICULO ARTIFICIAL UNIVERSAL PARA SOPORTE CIRCULATORIO EN EL TRATAMIENTO DE LA INSUFICIENCIA CARDIACA,SALUD,17929570
LABORATORIOS LIOMONT SA DE CV,TRATAMIENTO BIOTECNOLOGICO INNOVADOR PARA INFECCIONES BACTERIANAS A TRAVES DE PEPTIDOS DE ALACRAN,FARMACEUTICA,836520
LATITUD 19:36 SA DE CV,ARQUITECTURA Y DISENO DE SISTEMAS DE COMANDO Y CONTROL TERRESTRE PARA MISIONES ESPACIALES LANZADAS Y OPERADAS DESDE MEXICO. (COMANDO CENTRAL),AEROESPACIAL,9818750
BAYER DE MEXICO SA DE CV,"ESTUDIO CLINICO FASE III ALEATORIO EN PACIENTES CON HAP/HPTEC INOPERABLE O PERSISTENTE PARA EVALUAR EFICACIA Y SEGURIDAD DEL INNOVADOR RIOCIGUAT BAY63-2521, UNICO EN SU TIPO A NIVEL MUNDIAL (FASE DE EXTENSION SEGURIDAD Y ACCESO TEMPRANO)",FARMACEUTICA,955807
KALTIA CONSULTORIA Y PROYECTOS SA DE CV,"DESARROLLO TECNOLOGICO Y VALIDACION DE PROTOTIPO 
DESISTEMA PREFABRICADO PARA LOSAS DE ENTREPISO Y CUBIERTAS  
CON BAMBU ESTRUCTURAL ETAPA II SISTEMA COMPLETO",CONSTRUCCION,4726014
QUALTIA ALIMENTOS OPERACIONES S DE RL DE CV,"DISENO Y MONTAJE DE UNA PLANTA PILOTO, Y UN LABORATORIO, PARA INVESTIGACION Y DESARROLLO DE PRODUCTOS CARNICOS.",TECNOLOGIAS DE LA INFORMACION,6107700
LABORATORIOS TORNEL SA,"INVESTIGACION Y DESARROLLO DE METODOS DE ATENUACION VIRAL-ACERVO TECNOLOGICO Y DE CONOCIMIENTO PARA EL DESARROLLO DE NUEVAS VACUNAS EN LABORATORIOS TORNEL, S. A.",BIOTECNOLOGIA,4379887
LABORATORIO AVI-MEX SA DE CV,DESARROLLO DE VACUNAS ACTIVAS E INACTIVADAS DE TECNOLOGIA VECTORIZADA CONTRA LA INFLUENZA AVIAR SUBTIPO H7 (IA-H7),BIOTECNOLOGIA,467311
LABORATORIO AVI-MEX SA DE CV,DESARROLLO DE VACUNAS ACTIVAS DE TECNOLOGIA VECTORIZADA PARA LA LARINGOTRAQUEITIS INFECCIOSA (LT) DE LAS AVES,BIOTECNOLOGIA,450240
LABORATORIO AVI-MEX SA DE CV,DESARROLLO DE VACUNAS ACTIVAS E INACTIVADAS DE TECNOLOGIA VECTORIZADA PARA LAS ENFERMEDADES PORCINAS ASOCIADAS A PCV2,BIOTECNOLOGIA,728610
QUIMICA ROSMAR SA DE CV,DESARROLLO Y MEJORA DE FORMULACIONES DE BIOCONSERVADORES CON CONSORCIOS MICROBIANOS DE TECNOLOGIA PROPIA PARA INCREMENTAR VIDA DE ANAQUEL DE EMBUTIDOS Y PRODUCTOS CARNICOS ATENDIENDO LAS CARACTERISTICAS FISICOQUIMICAS Y ORGANOLEPTICAS EN EL TIEMPO,BIOTECNOLOGIA,2127500
QUIMICA ROSMAR SA DE CV,DESARROLLO DE UN SISTEMA DE TRATAMIENTO Y SANEAMIENTO DE MEMBRANAS DE MICRO-ULTRA FILTRACION Y OSMOSIS INVERSA APLICADO AL SECTOR ALIMENTARIO Y FARMACEUTICO PARA INCREMENTO PRODUCTIVO Y ABATIR COSTOS  OPERATIVOS EN REEMPLAZO DE CARTUCHOS FILTRANTES,ALIMENTOS,2056000
DDD SA DE CV,IXPANTVT: DISPOSITIVO DE CONVERSION DE IMAGENES OPTICAS EN TRIDIMENSIONALES,"OPTICA, EQUIPOS Y SISTEMAS",2312570
BIOMETRIA APLICADA SA DE CV,BIO-NR - SISTEMA BIOMETRICO PARA AUTENTICAR EL INTERCAMBIO DE INFORMACION A TRAVES DE LA TECNOLOGIA NFC Y RFID,TECNOLOGIAS DE LA INFORMACION,7081200
SP FILMS SA DE CV,EMPAQUE ACTIVO PARA USO ALIMENTICIO A PARTIR DE  NANOPARTICULAS,PLASTICOS,4204922
VANDIR SA DE CV,TECNOLOGIA DE EMPAQUES FLEXIBLES INTELIGENTES CON ATMOSFERA CONTROLADA PARA CONSERVACION DE ALIMENTOS,QUIMICA,5248591
SUMIPLAS SA DE CV,DESARROLLO DE PELICULA DE POLIPROPILENO CAST (CPP) NUCLEADO CON ESTABILIDAD MECANICA MEJORADA SIMILAR A PELICULAS BIORIENTADAS A PARTIR DEL USO EFICIENTE DE NANOCARGAS MINERALES,PETROQUIMICA,4994623
KAITENSOFT SA DE CV,MODELOS GRAFICOS PROBABILISTAS UBICUOS PARA INTELIGENCIA FINANCIERA (RIESGO Y FRAUDE),TECNOLOGIAS DE LA INFORMACION,4868292
NATURACION INTEGRAL S DE RL DE CV,DISENO DE SISTEMA MODULAR DE MUROS VERDES MONUMENTALES GENERACION VERDE,AGROINDUSTRIAL,665500
GRUPO VAZVELA SA DE CV,"""ESCALAMIENTO DEL NUEVO PROCESO DE ESTERILIZACION Y EMPAQUETADO DE TAMALES PARA EXPORTACION"".",PLASTICOS,6750000
GRUPO VAZVELA SA DE CV,PLANTA PILOTO PARA PRODUCCION DE BIO-POLIESTERES PARA LA INDUSTRIA AUTOMOTRIZ  UTILIZANDO ACIDO POLI LACTICO OBTENIDO DE LA HOJA Y OLOTE DE MAIZ,PLASTICOS,5625000
SOLUCIONES TI MX S DE RL DE CV,INNOVACION EN LA CREACION DE UNA PLATAFORMA PARA GESTION DE OFICINAS FISICAS Y VIRTUALES (VIO) VIRTUAL OFFICES PLATFORM.,TECNOLOGIAS DE LA INFORMACION,3671188
BIOCIENCIAS F Y A SA DE CV,AMPLIACION DE ALCANCES PARA EL ANALISIS GENOMICO DE CELULAS FETALES UTILIZANDO SECUENCIACION MASIVA EN PARALELO (GENOSEQMAS): APLICACION INMEDIATA EN DETECCION DE ENFERMEDADES HEREDITARIAS EN EL EMBARAZO COMO SERVICIO EN PROCESOS DE FERTILIDAD ASISTIDA,SALUD,10374230
CONSULTORES EN VERTICALES SA DE CV,DESARROLLO DE UNA HERRAMIENTA TECNOLOGICA (CENTRO DE EXPOSICIONES VIRTUAL Y RED SOCIAL) QUE PERMITA VINCULAR EFECTIVAMENTE A EMPRESARIOS Y ORGANIZACIONES EN TODO EL MUNDO Y GENERE OPORTUNIDADES DE NEGOCIOS (ETAPA 2),TECNOLOGIAS DE LA INFORMACION,5020352
LABORATORIOS SANFER SA DE CV,FABRICACION DE DOS PROTEINAS RECOMBINANTES Y AUMENTO DE SU VIDA MEDIA POR PEGILACION Y SU FORMULACION,FARMACEUTICA,4508200
AEROVIAS DE MEXICO SA DE CV,PROYECTO DE TECNOLOGIA INFORMATICA INNOVADORA PARA EL SECTOR AERONAUTICO DESARROLLADO CON BASE EN INTERCOMUNICACION INTELIGENTE QUE INCREMENTARA SEGURIDAD PROACTIVA DE PERSONAL Y CLIENTES EN AEROPUERTOS PREVINIENDO INTERFERECIAS ILICITAS,AEROESPACIAL,3359200
SERVICIOS GABAGOM SA DE CV,DESARROLLO DEL NEGOCIO DE INTELIGENCIA EN FUENTES ABIERTAS APLICADO A TEMAS DE SEGURIDAD NACIONAL Y SECTOR FINANCIERO,TECNOLOGIAS DE LA INFORMACION,7368750
TECNOLOGIAS INTELIGENTES Y MODELACION DE SISTEMAS SA DE CV,SISTEMA INTELIGENTE PARA LA GESTION AUTOMATICA DE ALARMAS DE FALLAS EN UNA RED COMPLEJA DE TELECOMUNICACIONES (SEGUNDA ETAPA),TECNOLOGIAS DE LA INFORMACION,1741900
FARMACEUTICA HISPANOAMERICANA SA DE CV,DESARROLLO DE MEDICAMENTOS PARA LA TERAPIA DE REEMPLAZO HORMONAL COMO UNA ALTERNATIVA DE BAJO COSTO DIRIGIDA AL SECTOR SALUD PUBLICA,FARMACEUTICA,4395000
LABORATORIOS SILANES SA DE CV,DESARROLLO DE PRODUCTOS BIOTERAPEUTICOS A BASE DE PEPTIDOS,FARMACEUTICA,2088843
ALENER SAPI DE CV,DESARROLLO DE UNA NUEVA TECNOLOGIA PARA EL APROVECHAMIENTO INTEGRAL DE LA BIOMASA PARA LA OBTENCION DE BIOCOMBUSTIBLES APLICADA A LA INDUSTRIA AZUCARERA.,AGROINDUSTRIAL,5417000
PRODUCTOS MEDIX SA DE CV,INVESTIGACION CLINICA APLICADA DE LOS FACTORES DETERMINANTES QUE MODIFICAN LA RESPUESTA AL TRATAMIENTO ANTIOBESIDAD EN POBLACION MEXICANA - ALTO IMPACTO CIENTIFICO Y SOCIAL,FARMACEUTICA,17475754
LABORATORIOS PISA SA DE CV,"ENSAYO PRE-CLINICO Y ESTUDIO CLINICO COMPARATIVO FASE III EN PACIENTES CON ARTRITIS REUMATOIDE ACTIVA SOMETIDOS A TERAPIA CON EL BIOCOMPARABLE ANTICUERPO MONOCLONAL ""ADALIMUMAB"" EN POBLACION MEXICANA",FARMACEUTICA,10108199
CORETEC S DE RL DE CV,PILOTO AUTOMATICO DE ARQUITECTURA ABIERTA PARA UAVS Y SU INTEGRACION EN EL ESPACIO AEREO - PA3UAV,AEROESPACIAL,3370883
LABORATORIOS SILANES SA DE CV,DETECCION Y CARACTERIZACION RAPIDA DE AGENTES PATOGENOS POR PIROSECUENCIACION CON UTILIDAD CLINICA EN RECIEN NACIDOS,SALUD,1136035
SANCHEZ SA DE CV,DESARROLLO  DE UNA LINEA  DE TINTAS TIPO PLASTISOL UTILIZANDO MATERIA PRIMA SUSTENTABLE Y DE BAJO IMPACTO AMBIENTAL,QUIMICA,610008
