Sujeto de Apoyo,Fondo  ,Monto Aprobado
"SCARFER, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,875,500"
"BIOCOR LABS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,475,500"
APEX SIMULACION Y TECNOLOGIA SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,215,991"
GS DE MEXICO S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"2,803,569"
"TERMOLITA, S.A.P.I. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,541,584"
CORPORATIVO STR ASESORIA EN DESARROLLO TECNOLOGICO E INNOVACION S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,117,500"
DESARROLLOS NUTRICIONALES Y PRODUCTOS DEL GOLFO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,722,050"
CLINICA DEL AZUCAR S.A.P.I. DE CV,Programa de Estímulos a la Innovación (PEI),"1,987,020"
CARGALOC-R  S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,225,527"
DATA CRUNCHING ENGINEERING MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"998,966"
THE WELL LIFE COMPANY S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,623,616"
BIOFABRICA SIGLO XXI SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,291,802"
"POLITUBOS DE MEXICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,312,971"
BIOACTIVOS Y NUTRACEUTICOS DE MEXICO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"7,538,128"
GCC CEMENTO SA DE CV,Programa de Estímulos a la Innovación (PEI),"7,883,737"
PUNTO PEN S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,464,642"
"HAKKEN ENTERPRISE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"9,571,743"
WORK LEVEL SA DE CV,Programa de Estímulos a la Innovación (PEI),"7,679,750"
"LABORATORIOS LIOMONT, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"14,754,059"
"PROLEC GE INTERNACIONAL, S DE RL DE CV",Programa de Estímulos a la Innovación (PEI),"1,850,231"
"ALIANZA PARA EL DESARROLLO TECNOLOGICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,987,778"
GCC CONCRETO SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,558,002"
SOLUCIONES FISCALES Y TECNOLOGICAS S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"1,991,619"
"ALIANZA PARA EL DESARROLLO TECNOLOGICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,980,001"
CORPORATIVO VELASQUEZ ESCOBAR SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,723,292"
"ALIANZA PARA EL DESARROLLO TECNOLOGICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,886,000"
INDUCTION TECHNOLOGIES DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"1,028,252"
"SURESTE SUSTENTABLE, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,139,673"
"SINERTECNOLOGIA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,712,500"
"SINERTECNOLOGIA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"2,790,000"
APV INTERNACIONAL SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,992,600"
"PRODUCTOS MEDIX, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"8,841,312"
"TECNOBAS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,600,000"
LEARNING BY DIGITAL TECNOLOGIES S DE R.L DE C.V,Programa de Estímulos a la Innovación (PEI),"4,292,659"
"""PLAD""  SA DE CV",Programa de Estímulos a la Innovación (PEI),"5,710,800"
PIKOCHAS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,441,724"
INGENIERÍA Y MECATRONICA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"7,197,512"
BYPASA SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,472,625"
ROBUSPACK S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,318,473"
ROBUSPACK S. DE R.L. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,224,853"
VIBRO PRODUCTOS DE OAXACA SA DE CV,Programa de Estímulos a la Innovación (PEI),"4,358,870"
ESTRATEGIAS DE PLANEACION URBANA SUSTENTABLE SA DE CV.,Programa de Estímulos a la Innovación (PEI),"3,762,006"
GRUPO R3 SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,101,660"
SYME AGROINSUMOS INNOVADORES DE MEXICO S.A DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,182,500"
COMPUESTOS TKNSET S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"2,040,430"
"PRODUCTIVIDAD MOVIL, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"9,975,000"
"ESTERIPHARMA, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"6,003,438"
EIMEX S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,551,026"
CIPSA INDUSTRIAS SA DE CV,Programa de Estímulos a la Innovación (PEI),"13,928,202"
RASE PROYECTOS PRODUCTIVOS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,968,750"
"TRAMES, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"10,923,007"
EMPACADORA FRAPE S.A. DE C.V,Programa de Estímulos a la Innovación (PEI),"6,370,297"
RESIDUOS A HIDROCARBUROS SUSTENTABLES DE MEXICO S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"23,650,000"
"MANUFACTURERA DE CIGUEÑALES DE MEXICO, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"5,871,404"
"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,895,277"
MEZCALERIA CHAGOYA S DE PR DE RL,Programa de Estímulos a la Innovación (PEI),"1,464,295"
DISEÑO E INGENIERIA SUSTENTABLE SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,621,500"
GRUPO MATSUMA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"3,225,000"
AURECON SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,170,250"
"PRODUCTORA DE ESPECIES ACUATICAS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"7,075,906"
MEZCLADORAS Y TRAILERS DE MÉXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"9,065,596"
ROTOINNOVACION S. A. DE C. V.,Programa de Estímulos a la Innovación (PEI),"4,950,000"
PLANTAS ELÉCTRICAS MÉXICO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,860,110"
PID ELECTRONICS S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"1,539,495"
CONAGRA FOODS MÉXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"6,616,406"
EXPORTADORA DE PLASTICOS AGRICOLAS S.A DE C.V.,Programa de Estímulos a la Innovación (PEI),"5,536,970"
LAMITEC SA DE CV,Programa de Estímulos a la Innovación (PEI),"8,025,850"
INAMBTEC SA DE CV,Programa de Estímulos a la Innovación (PEI),"17,261,327"
TECNOLOGIA RENOVABLE DE MÉXICO S.A DE C.V,Programa de Estímulos a la Innovación (PEI),"4,000,000"
CASAL'S INTERNACIONAL S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,641,712"
GALVAFLEX DE MEXICO SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,709,535"
"SITELDI SOLUTIONS, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"4,500,000"
TRIASO S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"2,963,054"
PRODUCTOS NATURALES ALFA S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"5,337,057"
GS DE MEXICO S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"5,088,565"
HIELO CACHANILLA S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"3,290,625"
HIELO CACHANILLA S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"1,968,750"
GRUPO INDUSTRIAL TEBVLAR S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"1,859,401"
"CENTRO DE INVESTIGACION EN POLIMEROS, S.A DE C.V",Programa de Estímulos a la Innovación (PEI),"2,917,250"
PROCESADORA DE SALSAS SHAITA S. DE R. L. MI.,Programa de Estímulos a la Innovación (PEI),"1,292,750"
"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"1,821,979"
HELVEX SA DE CV,Programa de Estímulos a la Innovación (PEI),"8,015,860"
NUTRIPROTEOMICS S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"4,490,904"
VERSTAND TECNOLOGIAS SA DE CV,Programa de Estímulos a la Innovación (PEI),"5,316,500"
"BRIKAP, S.A. DE C.V.",Programa de Estímulos a la Innovación (PEI),"3,650,020"
"ASESORES TECNICOS Y MANTENIMIENTO DE ESTACIONES DE SERVICIO, SA",Programa de Estímulos a la Innovación (PEI),"6,155,000"
PH DEVICES R&D SA DE CV,Programa de Estímulos a la Innovación (PEI),"2,307,800"
INDUSTRIAS VEPINSA S.A. DE C.V.,Programa de Estímulos a la Innovación (PEI),"19,196,652"
3G HERRAMIENTAS SA DE CV,Programa de Estímulos a la Innovación (PEI),"9,617,869"
ACERTA CONSULTORES SA DE CV,Programa de Estímulos a la Innovación (PEI),"3,800,740"
CITRO-DES  S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"8,682,887"
GS DE MEXICO S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"3,594,866"
GS DE MEXICO S DE RL DE CV,Programa de Estímulos a la Innovación (PEI),"2,107,866"
EQUIPOS MEDICOS VIZCARRA SA,Programa de Estímulos a la Innovación (PEI),"6,237,970"
