Sujeto de Apoyo,Nombre del Proyecto,Sector,Monto Autorizado (pesos)
Centro de Ingeniería y Desarrollo Industrial,Desarrollo del Plan General para la Creación de la Iniciativa Binacional de Manufactura Inteligente México-Estados Unidos (IBIMI),Pública,579000.00
Instituto Tecnológico y de Estudios Superiores de Monterrey / Campus Santa Fe,I-Corps Tec Challenge,Privada,5822020.00
Bajainnova SAPI de CV,"Academia de Transferencia y Comercialización de Tecnología para las Américas entre la Organización de los Estados Americanos (OEA) - CONACYT, México",Privada,1150000.00
UNIVERSIDAD AUTONOMA DE CAMPECHE,"RESPUESTA COMPARATIVA DE BIOMARCADORES DE DISRUPCIÓN ENDOCRINA E HISTOPATOLOGÍA EN PECES TELEÓSTEOS DEL RÍO CHAMPOTÓN (CAMPECHE, MÉXICO) Y DEL RÍO SUBAÉ (BAHIA, BRASIL) REDES. ",SERVICIOS EDUCATIVOS,148000.00
UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,FUNCTIONALITIES OF BISMUTH-BASED NANOSTRUCTURES,SERVICIOS EDUCATIVOS,37488600.00
VITRO AUTOMOTRIZ S.A. DE C.V.,DESARROLLO DE SISTEMA INNOVADOR DE TERMOFORMADO DE DOS HOJAS DE VIDRIO DE MANERA SIMULTANEA UTILIZANDO LA FUERZA DEL VACIO,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETROLEO E INDUSTRIA QUIMICA",9928935.75
UNIVERSIDAD AUTONOMA METROPOLITANA / UNIDAD IZTAPALAPA,NONCOMMUTATIVE MODELS IN PHYSICS.,SERVICIOS EDUCATIVOS,124800.00
ALIMENTOS NUTRACÉUTICOS LA MEZA S.A. DE C.V.,DESARROLLO DE UNA PLANTA PILOTO DE SECADO Y TEXTURA DE PRODUCTOS TÍPICOS MEXICANOS BAJO LA TECNOLOGÍA DE DESCOMPRENSIÓN INSTANTÁNEA,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACION  DE TEXTILES",9796808.73
"INSTITUTO DE ECOLOGIA, A.C.",INVESTIGACIÓN FILOGEOGRÁFICA DE ESPECIES VEGETALES DISTRIBUÍDAS EN MÉXICO Y ARGENTINA,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,33600.00
UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,ANÁLISIS MULTIMODAL DE LESIONES DÉRMICAS UTILIZANDO TOMOGRAFÍA DE COHERENCIA ÓPTICA Y ESPECTROSCOPÍA RAMAN,SERVICIOS EDUCATIVOS,136000.00
