Sujeto de Apoyo,Nombre del Proyecto,Sector,Monto Autorizado MXN 
Instituto Tecnológico y de Estudios Superiores de Monterrey,DESARROLLO DE UNA METODOLOGÍA URBANO-AMBIENTAL PARA ESTIMAR LOS IMPACTOS EN LA SALUD PÚBLICA DE LAS EMISIONES VEHICULARES EN CIUDADES MEDIAS CON CRECIMIENTO VEHICULAR Y POBLACIONAL ACELERADOS,Servicios Educativos,"2,590,748.00"
Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias,"GENERACION DE TECNOLOGÍA PARA LA PRODUCCIÓN SUSTENTABLE Y USO INTEGRAL DE MALANGA Y YUCA EN TABASCO Y VERACRUZ, MÉXICO",AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,"2,710,000.00"
Instituto Politécnico Nacional,POTENCIAL DE BACOPA MONNERI PENELL COMO ALTERNATIVA SUSTENTABLE PARA DESALINIZAR Y MEJORAR LA CALIDAD EDÁFICA DE SUELOS SALINOS,Servicios Educativos,"1,500,000.00"
Instituto Politécnico Nacional,"DESARROLLO DE UN PLAN PILOTO PARA EL MEJORAMIENTO DE LA RESILIENCIA DE UNA REGIÓN VULNERABLE A SISMOS Y/O INUNDACIONES, REPRESENTATIVA DE GRANDES CONCENTRACIONES URBANAS DE LA REPÚBLICA MEXICANA",Servicios Educativos,"2,000,000.00"
Instituto Mexicano de Tecnología del Agua,OPTIMIZACIÓN DE LOS PROCESOS DE TRATAMIENTO DE RESIDUOS PROVENIENTES DE LA REMOCIÓN DE ARSÉNICO EN AGUA PARA CONSUMO HUMANO,"Servicios Profesionales, Cientificos Y Tecnicos","1,937,000.00"
Instituto Educativo del Noroeste A.C.,"FACTORES QUE INCIDEN EN LA COMPETITIVIDAD DE UNA INDUSTRIA CULTURAL Y CREATIVA: EL CASO DE LA CERVEZA ARTESANAL DE BAJA CALIFORNIA, MÉXICO",Servicios Educativos,"514,297.00"
Universidad Autónoma del Estado de Hidalgo,PROPUESTA DE UN MODELO DE INNOVACIÓN BASADO EN LA ECONOMIA NACIONAL DEL CONOCIMIENTO,Servicios Educativos,"4,000,000.00"
Instituto Tecnológico Superior de Tierra Blanca,CELDAS DE COMBUSTIBLE MICROBIANAS PARA LA GENERACIÓN DE ENERGÍA ELÉCTRICA A PARTIR DE AGUAS RESIDUALES ACUÍCOLAS DEL ESTADO DE VERACRUZ,Servicios Educativos,"1,500,000.00"
Instituto Politécnico Nacional,PELÍCULAS DELGADAS DE ÓXIDOS NANOESTRUCTURADOS PARA DISMINUIR LA TEMPERATURA DE OPERACIÓN DE CELDAS DE COMBUSTIBLE,Servicios Educativos,"2,000,000.00"
Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco A.C. (CIATEJ),NANOESTRUCTURAS AUTOENSAMBLADAS A BASE DE BIOPOLÍMEROS NATURALES Y SU EVALUACIÓN ESTABILIZANTE DE HIERRO PARA ATENDER LA DESNUTRICIÓN INFANTIL,"Servicios Profesionales, Cientificos Y Tecnicos","1,200,000.00"
